je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,false,4599,disabled,12,4,30,always,25136,11,9983594,phycpu,true,false,always,true,1730.85938
false,true,27969,primary,22,19,46,disabled,9097,399,21562980,disabled,false,true,default,false,1744.07812
false,false,13630,disabled,15,24,12,always,14802,534,31784781,disabled,true,false,always,true,1730.73828
true,true,43255,secondary,5,14,75,auto,44908,196,3518277,phycpu,false,true,never,false,1955.30469
true,false,33313,secondary,3,7,7,always,18901,449,25602305,phycpu,true,true,never,false,2028.92969
false,true,9800,primary,13,17,70,auto,40406,101,5765385,percpu,false,false,always,true,1751.40625
false,false,48599,primary,19,27,35,always,33542,246,16384040,disabled,true,true,default,false,1726.48828
true,true,18831,disabled,9,12,51,disabled,1094,624,19615790,percpu,false,false,always,true,1772.60156
true,false,44859,primary,24,13,3,always,24835,215,16874926,phycpu,false,true,default,false,1721.75
false,true,24426,secondary,11,26,63,auto,40820,516,13643172,disabled,true,false,never,true,1738.78125
false,false,35921,disabled,5,21,38,always,35227,331,8246411,disabled,false,true,never,false,1724.60938
true,true,9243,secondary,18,3,57,disabled,5171,81,28083331,phycpu,true,false,default,true,1724.17188
true,false,17324,primary,15,10,23,auto,31117,566,2065095,phycpu,false,false,default,true,1688.06641
false,true,37510,disabled,2,28,42,disabled,9659,305,30331599,percpu,true,true,always,false,2243.05469
false,false,2141,secondary,7,19,18,disabled,16436,130,23276512,disabled,false,false,never,true,1684.16406
true,true,28571,primary,20,5,78,auto,48840,421,11697130,percpu,true,true,always,false,1849.29297
true,false,22711,primary,6,29,50,disabled,42791,86,11058964,phycpu,false,true,never,true,1754.77344
false,true,46282,disabled,16,9,26,auto,22889,464,24768282,percpu,true,false,default,false,1735.69141
false,false,7431,secondary,22,6,70,auto,3206,609,30676533,disabled,false,true,default,true,1684.37109
true,true,37245,primary,12,18,15,disabled,37167,261,345661,percpu,true,false,never,false,1750.73047
true,false,39323,disabled,9,25,65,always,11599,374,28721273,phycpu,false,false,always,false,1751.39062
false,true,15999,secondary,20,14,10,disabled,29153,36,6754417,disabled,true,true,default,true,1719.82422
false,false,30286,disabled,13,1,54,always,46894,171,13298014,percpu,false,false,always,false,1721.49219
true,true,719,primary,3,22,31,auto,18407,559,18594136,phycpu,true,true,never,true,1728.58984
true,false,26253,secondary,18,16,62,always,7130,290,20026580,phycpu,true,false,default,false,1723.49219
true,false,2558,secondary,3,14,46,disabled,10859,41,26760135,disabled,false,false,never,false,1687.69531
false,true,2198,disabled,23,5,56,auto,30741,566,23403903,phycpu,false,true,always,false,1780.75391
false,false,2141,secondary,10,19,1,disabled,16436,130,15980476,phycpu,false,false,never,true,1681.17188
true,false,1359,secondary,18,6,1,auto,27726,119,30551707,phycpu,false,false,default,true,1683.14453
true,false,2146,secondary,2,17,1,disabled,15474,508,174074,phycpu,false,false,default,true,1704.17969
false,false,1808,secondary,5,21,1,disabled,46505,598,11434058,phycpu,false,false,always,false,1715.95312
true,false,2150,secondary,7,10,1,disabled,7513,221,12905919,disabled,false,true,never,true,1685.78906
false,true,2141,secondary,11,19,2,disabled,14979,130,12534803,phycpu,false,false,never,false,1719.67969
false,false,1852,primary,17,18,4,disabled,24937,97,17865895,phycpu,true,true,never,true,1690.38281
false,false,871,secondary,6,6,2,disabled,5849,257,15385336,percpu,true,false,never,true,1689.07812
false,false,1259,disabled,3,18,1,disabled,17981,230,21735158,phycpu,false,false,default,true,1696.80469
true,false,871,secondary,10,4,1,disabled,705,90,13989473,phycpu,false,false,default,false,1676.00781
true,false,109,secondary,10,21,1,disabled,1602,55,21735158,phycpu,false,false,default,true,1675.60547
false,false,264,secondary,5,19,60,always,696,430,30395247,percpu,false,true,always,true,1719.87891
true,false,109,primary,8,21,1,always,693,14,21735158,percpu,false,false,default,true,1699.55859
true,false,2141,secondary,4,22,14,disabled,1699,103,21132070,percpu,false,true,never,false,1692.44922
false,false,599,secondary,10,3,1,disabled,705,14,13989473,phycpu,true,false,default,false,1679.91797
true,false,69,secondary,13,20,1,auto,850,43,13455283,phycpu,false,true,never,true,1689.03125
true,false,137,secondary,9,4,44,auto,9369,8,21346588,disabled,true,false,default,false,1680.55469
true,false,416,secondary,6,1,17,disabled,8648,62,22469259,phycpu,true,true,always,true,1748.96875
true,false,115,secondary,18,5,29,disabled,585,59,17111226,percpu,false,false,default,false,1677.99609
true,false,537,primary,10,19,72,disabled,1481,59,25264231,percpu,false,false,default,false,1677.41016
true,false,66,disabled,10,13,4,disabled,1257,434,29633130,phycpu,true,false,default,false,1674.82031
false,false,90,secondary,13,27,25,disabled,3228,96,18353585,phycpu,true,false,default,false,1680.27734
true,false,37852,primary,20,15,60,disabled,2684,555,20086330,disabled,false,true,never,true,1689.34766
