je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,true,7490,primary,20,20,12,auto,11945,90,24971625,disabled,true,false,always,false,875.99609
false,false,30765,secondary,1,10,73,disabled,46460,632,3403134,phycpu,false,true,never,true,866.80078
false,true,14712,disabled,8,6,36,disabled,33843,353,9637642,percpu,true,false,always,false,879.92188
true,false,46980,primary,13,23,58,always,24549,206,31320861,percpu,false,true,default,true,918.82422
true,true,37170,secondary,17,18,29,always,30470,508,14717865,percpu,true,true,default,true,929.19531
false,false,1088,disabled,10,15,46,auto,15031,51,28211136,percpu,false,false,never,false,838.68359
false,true,41262,secondary,6,4,4,auto,2426,255,17733068,phycpu,true,true,never,true,853.33984
true,false,20434,primary,22,29,61,disabled,43087,467,4223453,disabled,false,false,always,false,860.19922
true,true,38663,disabled,4,26,23,always,25608,191,7330020,disabled,false,true,always,true,926.01172
false,false,24640,secondary,19,7,45,auto,16390,373,18955509,phycpu,true,false,default,false,821.3125
false,true,33002,primary,15,11,8,auto,3798,573,25288321,phycpu,false,true,always,true,870.36328
true,false,3738,secondary,8,22,69,disabled,38187,147,13580952,disabled,true,false,never,false,809.93359
true,true,18336,secondary,12,28,20,auto,6682,409,32653858,percpu,false,false,never,false,819.80469
false,false,44970,disabled,16,2,77,disabled,47413,311,12363317,percpu,true,true,default,true,870.03125
false,true,9557,primary,24,12,34,disabled,34834,35,1852481,phycpu,false,false,default,false,802.08984
true,false,27186,disabled,5,17,52,always,19273,527,22192214,disabled,true,true,never,true,853.51172
true,true,23236,secondary,14,2,71,disabled,18404,78,21224133,percpu,false,true,default,false,818.16016
false,false,40067,primary,9,27,14,always,27890,480,868050,percpu,true,false,always,true,858.10547
false,true,5460,secondary,2,16,56,auto,40300,445,11394214,phycpu,false,true,never,false,877.31641
true,false,31280,disabled,21,13,39,disabled,5983,277,31668401,disabled,true,false,always,true,846.18359
true,true,46666,disabled,22,8,49,auto,49818,619,14565381,disabled,false,false,default,true,877.48047
false,false,16640,primary,6,25,26,disabled,9355,102,26256404,phycpu,true,true,never,false,849.12891
false,true,25759,disabled,11,21,64,always,21776,224,19940968,percpu,false,false,always,true,862.82422
true,false,10984,secondary,18,11,1,always,37409,336,8299121,disabled,true,true,default,false,836.46875
true,true,29166,primary,7,14,42,auto,43761,299,5311312,percpu,true,false,never,true,820.09375
false,true,683,primary,20,3,64,disabled,30823,19,738601,percpu,false,false,always,false,869.125
false,false,27318,disabled,24,10,65,always,41323,26,2692852,disabled,true,false,default,true,847.39453
false,true,6679,primary,24,27,13,disabled,30536,33,12884416,phycpu,true,false,default,true,837.99609
true,false,9557,secondary,24,12,34,always,34834,35,82069,disabled,false,false,default,true,868.67188
true,false,5954,secondary,24,9,34,disabled,34834,2,939921,percpu,true,true,default,false,815.1875
false,true,2758,primary,24,14,57,disabled,17292,44,7901895,disabled,false,true,never,false,841.47266
true,false,5050,disabled,16,4,79,auto,48518,24,31835027,disabled,true,false,never,true,791.08203
false,false,1321,primary,9,18,79,disabled,44819,21,9267269,phycpu,true,false,never,false,830.09766
true,true,3384,primary,15,2,79,auto,48518,9,31835027,disabled,true,true,default,true,801.71094
false,false,5050,disabled,4,9,79,auto,48518,24,31835027,phycpu,true,false,always,false,885.41406
true,false,3295,primary,21,4,34,disabled,45188,9,31835027,phycpu,false,true,never,false,800.81641
true,false,19225,disabled,16,3,9,always,11141,15,32433758,phycpu,false,false,default,true,820.42578
true,false,5050,disabled,17,4,65,disabled,46704,10,31835027,disabled,false,true,never,true,797.95703
true,true,5050,secondary,17,4,79,auto,48518,23,31835027,disabled,false,false,default,true,810.30859
true,true,2053,disabled,4,9,80,disabled,46190,24,31835027,disabled,false,false,never,true,811.31641
true,false,36674,primary,17,1,54,always,49723,35,32312929,disabled,false,false,never,false,848.58984
true,false,5050,primary,14,4,68,auto,46704,32,31835027,disabled,true,false,never,false,797.5625
true,false,4403,disabled,11,3,79,auto,48518,27,31835027,disabled,true,true,never,false,791.10156
true,false,5050,disabled,11,4,73,auto,46704,26,31835027,disabled,true,true,never,true,792.36328
false,false,4403,disabled,11,4,76,auto,48518,24,31835027,disabled,true,true,always,false,882.89844
true,false,1405,disabled,5,13,79,always,48518,24,31835027,disabled,false,true,never,true,823.0625
true,false,36819,disabled,12,1,73,always,11209,34,18465290,percpu,true,true,default,false,868.08594
true,true,162,disabled,16,4,79,auto,48518,21,31835027,phycpu,true,false,never,false,798.06641
true,false,5050,disabled,7,1,79,disabled,48518,27,31835027,percpu,true,true,never,true,798.98047
true,true,5050,disabled,8,5,78,auto,48518,27,31835027,disabled,true,true,default,false,815.17969
