je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_thp,je_trust_madvise,rss
false,true,7803,secondary,20,3,63,auto,813,13255,344,26369833,percpu,false,never,false,0.46027239929402053
true,false,35923,primary,3,16,29,always,1389,29693,48,9286843,phycpu,true,default,true,14.030711430647829
true,true,15677,primary,11,29,50,disabled,1844,47258,276,7596887,disabled,false,always,false,10.720330019725909
false,false,37571,disabled,17,15,20,auto,58,8236,613,23855301,phycpu,true,always,true,24.55228664867108
false,true,29874,disabled,15,5,47,disabled,2200,34348,206,18144054,disabled,true,never,true,3.610614358388703
true,false,1742,secondary,9,21,4,always,377,22660,503,733350,phycpu,false,always,false,10.689881384966776
true,true,46732,disabled,7,26,76,auto,1131,5852,455,16084810,percpu,true,default,true,5.1557016974667835
false,false,24875,secondary,24,11,35,always,1745,38707,117,32146650,percpu,false,never,false,11.40280445390365
false,true,47602,primary,1,13,44,disabled,2313,11427,151,27293480,phycpu,true,default,true,44.885346371470185
true,false,19459,disabled,18,27,7,always,490,44015,402,12557492,disabled,false,always,false,7.20697609530731
true,true,25788,secondary,16,18,74,auto,943,26692,550,4309848,percpu,true,never,true,2.8694293760382106
false,false,3919,disabled,10,4,38,disabled,1557,16296,179,22948044,percpu,false,default,false,0.4308197933970146
false,true,14984,primary,8,9,70,auto,700,41895,561,19329851,percpu,false,default,false,1.8329980793189384
true,false,43091,secondary,14,25,21,always,1277,2606,308,3741865,disabled,true,never,true,7.973545213870439
true,true,11529,disabled,22,23,58,disabled,2031,19662,20,13059909,phycpu,false,always,false,8.65193820078903
false,false,33411,primary,5,7,13,auto,246,37392,393,30977239,disabled,true,always,true,14.477879723837205
false,true,20315,disabled,18,24,26,disabled,577,24408,371,16991287,percpu,true,always,false,33.225842244601374
true,false,48458,secondary,12,10,65,auto,2391,32643,39,1879973,percpu,false,default,true,4.22266922757475
true,true,6191,disabled,2,8,17,auto,1648,40396,290,14872649,phycpu,true,default,false,11.312431867732567
false,false,28060,secondary,20,22,53,always,1025,4109,581,33364955,disabled,false,never,true,16.23837209302325
false,true,41994,primary,23,28,1,auto,1215,28316,199,25542698,phycpu,false,never,true,14.959354235880395
true,false,13887,disabled,6,12,49,disabled,629,14675,532,10103738,disabled,true,default,false,0.1337663517441916
true,true,31386,secondary,10,3,33,disabled,186,6800,421,6583382,phycpu,false,always,true,11.235361295681056
false,false,9504,primary,15,19,79,always,1962,48639,128,24879046,percpu,true,never,false,14.034659857765808
false,true,36779,disabled,10,20,9,auto,1477,1101,97,20016184,disabled,false,default,true,7.929194352159468
false,true,2562,disabled,13,5,64,auto,634,18007,211,27484597,percpu,false,default,false,1.0140190251245809
false,true,733,primary,5,10,61,auto,731,251,534,5071715,percpu,true,default,true,-4.395670032184386
false,false,1310,primary,3,9,57,always,349,819,543,17721295,percpu,true,never,false,6.0370639534883725
false,true,1151,primary,3,10,56,auto,731,251,534,3648663,phycpu,false,default,true,-4.79406211067277
false,true,991,secondary,4,2,53,disabled,69,388,6,2117706,phycpu,true,always,true,18.26431102055647
false,false,1141,primary,7,26,50,disabled,70,31,30,7525858,percpu,false,default,true,-0.6835515728820454
true,true,1156,disabled,1,10,56,always,731,251,498,2193544,percpu,false,never,false,47.25866577553987
true,false,13566,primary,9,10,69,auto,725,22537,485,23750786,percpu,true,never,false,-0.1599421200166069
false,true,479,disabled,3,6,46,auto,731,251,452,1718862,disabled,true,default,true,-6.654361762873756
false,true,733,disabled,4,10,61,auto,731,251,420,93781,disabled,false,default,true,1.4115967607973396
true,true,367,disabled,3,7,60,disabled,463,251,449,225492,percpu,false,default,true,-3.3968055699750828
true,true,842,primary,2,14,61,auto,656,16,478,2787888,disabled,false,never,true,2.4339960548172748
false,false,546,primary,12,6,45,disabled,969,590,619,23161884,phycpu,false,default,false,-3.745389716569777
false,false,4367,disabled,10,7,50,always,237,4268,180,598573,percpu,false,always,true,6.213552481312294
true,false,545,secondary,10,4,50,always,731,1605,534,1219885,disabled,true,default,false,4.169441704734216
false,false,727,disabled,1,9,46,disabled,560,251,452,1718862,percpu,true,default,false,-0.7637594736295672
false,true,420,secondary,4,6,40,auto,762,273,609,23161884,percpu,true,default,false,-3.157161674626249
false,true,344,disabled,2,13,58,disabled,731,251,534,199629,disabled,true,default,true,-7.109232246677736
false,false,194,secondary,2,10,57,auto,400,251,508,150360,disabled,false,default,false,0.7225946065199309
false,true,12331,primary,1,14,73,disabled,1206,16694,340,21915508,percpu,false,default,false,22.06955655627076
false,true,14,disabled,1,13,42,auto,731,251,534,5071715,disabled,true,default,true,-3.7193891455564776
true,true,344,disabled,3,13,54,disabled,731,251,534,199629,phycpu,false,always,false,7.461073764534881
false,false,458,secondary,1,5,57,disabled,731,251,534,1174246,disabled,false,default,true,-4.958341985049833
true,true,808,disabled,1,13,28,disabled,731,392,396,671483,phycpu,true,default,true,20.334136861503328
false,false,523,disabled,11,14,58,auto,388,251,534,199629,disabled,true,default,true,-5.097730871054796
