je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
false,true,2176,primary,4,20,40,disabled,28329,321,17771142,disabled,true,false,default,false,587.90625
true,false,45519,disabled,23,4,67,always,19134,235,3847052,phycpu,false,true,never,true,583.0
true,true,17131,secondary,15,13,7,auto,9038,86,14605318,percpu,true,false,always,false,625.97656
false,false,35472,disabled,11,25,58,always,43497,631,32195848,disabled,false,true,default,true,594.8125
false,true,41567,primary,9,19,19,auto,2634,241,11537645,percpu,true,true,default,true,571.89453
true,false,10736,secondary,17,6,46,always,49522,475,25531873,phycpu,false,false,never,false,574.64062
true,true,26611,disabled,21,11,27,disabled,34804,485,23198319,phycpu,true,true,never,true,564.19922
false,false,20785,primary,6,26,79,always,13038,72,5530467,disabled,false,false,always,false,604.24609
false,true,28854,secondary,22,23,11,auto,4011,588,8063793,disabled,false,true,always,true,621.90625
true,false,22180,primary,2,14,43,always,44624,137,21926461,phycpu,true,false,default,false,1560.78906
true,true,40460,primary,10,3,26,disabled,33549,188,27983283,percpu,false,true,default,true,574.125
false,false,8791,disabled,13,22,72,auto,17813,379,10446015,percpu,true,false,never,false,552.53516
false,true,14902,disabled,16,29,32,disabled,26757,29,29633882,percpu,false,false,never,false,564.90625
true,false,34062,secondary,7,9,64,always,23447,537,15840344,phycpu,true,true,always,true,640.42188
true,true,3294,primary,5,8,5,auto,10878,428,1432538,phycpu,false,false,default,false,586.62109
false,false,47453,secondary,19,17,51,disabled,38916,299,18891476,disabled,true,true,never,true,551.27734
false,true,23919,disabled,12,10,69,auto,46349,450,20048124,percpu,false,true,default,false,567.29297
true,false,29751,primary,15,29,37,disabled,5807,276,291318,phycpu,true,false,always,true,626.4375
true,true,7601,primary,23,16,57,disabled,16018,46,14687864,phycpu,false,true,never,false,567.51172
false,false,38428,secondary,3,7,10,always,31824,520,30771062,disabled,true,false,always,true,754.53125
false,true,32335,secondary,6,15,50,disabled,22114,211,9358993,disabled,false,false,always,true,614.34375
true,false,13993,disabled,20,24,18,auto,25348,356,29054877,phycpu,true,true,never,false,562.05469
true,true,48655,primary,18,21,75,auto,40325,605,23017491,percpu,false,false,always,true,604.12891
false,false,5314,disabled,9,2,28,always,12211,120,6988063,disabled,true,true,default,false,576.19531
false,true,44316,disabled,14,5,42,disabled,20470,542,4573517,percpu,true,false,never,true,558.83203
false,false,48552,secondary,16,10,10,always,34094,28,12182183,disabled,false,true,never,true,580.44922
false,false,49172,secondary,20,7,71,auto,48802,255,758347,percpu,true,true,never,false,540.66016
false,true,49629,secondary,5,20,71,disabled,43408,235,394385,disabled,true,true,never,false,559.44531
false,true,45911,primary,20,7,71,auto,48802,194,1040649,disabled,true,true,never,true,552.16016
true,false,8160,disabled,4,6,72,auto,33667,192,18165599,percpu,true,true,never,true,675.80859
false,false,49172,primary,16,8,73,disabled,46979,68,252484,percpu,true,false,never,false,538.62109
false,false,49172,disabled,16,6,73,disabled,45726,219,17551,disabled,false,false,never,false,538.46094
false,false,49102,secondary,11,8,23,disabled,45947,206,32684,disabled,false,false,always,true,590.86719
false,false,49172,disabled,20,7,75,auto,48802,193,10736,disabled,true,true,never,false,549.21094
true,true,49172,primary,3,2,73,auto,40622,150,17551,percpu,false,true,never,true,1344.93359
true,false,49172,disabled,16,2,73,disabled,46128,21,7298,disabled,false,false,never,false,552.69531
false,false,49172,disabled,16,6,70,auto,48802,226,22047,percpu,false,false,never,false,538.92578
true,false,49172,secondary,16,4,74,always,46568,188,75050,percpu,false,true,never,false,626.71094
false,true,49172,primary,5,9,73,disabled,46979,68,258364,percpu,true,false,always,false,630.38281
false,true,49172,secondary,11,1,74,disabled,48802,220,2044,percpu,true,false,never,false,560.92188
false,false,49172,primary,16,15,73,always,46979,24,23970,percpu,false,true,never,false,585.49609
true,true,49172,primary,12,1,73,disabled,46988,193,93217,percpu,false,false,never,true,584.88281
false,false,49172,primary,16,13,74,disabled,45774,203,14129,percpu,true,false,never,false,549.32422
true,false,49172,primary,17,10,70,auto,48802,81,224095,phycpu,true,false,never,false,570.80078
false,true,235,primary,3,25,65,auto,23525,560,1760363,phycpu,true,true,never,true,573.12891
false,false,49172,primary,16,6,71,disabled,46958,35,22047,disabled,false,false,never,false,537.78125
false,false,49172,primary,20,9,72,disabled,46958,18,22047,disabled,false,false,always,true,592.52344
false,false,49172,primary,16,7,72,disabled,45726,32,17551,percpu,false,true,never,true,539.42969
false,false,49172,secondary,11,8,73,disabled,33590,191,17551,disabled,false,false,never,false,538.51172
false,true,49172,primary,18,6,71,auto,46958,35,22047,disabled,false,false,never,false,550.03516
