je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_thp,je_trust_madvise,rss
true,true,48448,secondary,18,28,79,disabled,202,47894,554,308199,phycpu,true,default,false,1.8102289244186045
false,false,13665,primary,8,9,11,auto,1392,20576,75,20036985,disabled,false,never,true,-1.8226257526993372
false,true,33137,secondary,3,5,53,auto,2052,2268,210,29242201,percpu,true,always,false,51.03386173691861
true,false,3978,disabled,22,17,37,disabled,863,29676,370,9125319,percpu,false,always,true,16.48130255917774
true,true,22412,disabled,20,23,48,always,2106,16672,242,14503830,phycpu,false,default,true,13.334902538413626
false,false,40471,primary,4,13,23,always,917,39295,402,31998218,percpu,true,always,false,31.99241460755815
false,true,6914,disabled,12,2,64,disabled,444,33587,597,23580458,phycpu,false,never,true,1.7415386212624584
true,false,30970,secondary,14,19,6,auto,1633,10860,118,5423542,disabled,true,default,false,0.9428272944352142
true,true,11494,primary,9,18,41,always,2389,27330,156,2611451,percpu,false,never,true,10.847043059593023
false,false,26401,disabled,16,8,30,always,1199,4591,635,18011749,percpu,true,always,false,28.393739617940202
false,true,20993,secondary,23,12,67,disabled,463,22904,441,27088965,disabled,false,default,true,-0.4136893947259149
true,false,41903,primary,1,29,4,auto,1653,45539,282,11032283,phycpu,true,never,false,61.23905666009137
true,true,34391,primary,6,22,71,disabled,105,8499,328,16655500,disabled,true,never,false,-0.06619212001661112
false,false,2712,secondary,18,3,19,auto,1295,35919,168,30091796,phycpu,false,default,true,1.781821013289038
false,true,44081,disabled,15,14,55,auto,1843,41638,34,21275700,disabled,true,always,false,14.898109816237543
true,false,18020,primary,11,26,35,always,653,14308,514,7449260,percpu,false,always,true,15.816383539244185
true,true,27724,disabled,22,5,15,auto,1124,38096,483,13588320,disabled,false,always,false,12.962562941237548
false,false,9379,secondary,3,22,76,disabled,2314,18628,5,33184192,phycpu,true,never,true,6.130411648671091
false,true,43033,disabled,7,25,39,disabled,1728,12041,199,24500192,percpu,false,never,false,4.108820208679399
true,false,19068,primary,17,15,53,auto,538,31599,358,4249984,phycpu,true,default,true,0.033650851328904
true,true,1413,secondary,13,7,24,disabled,1220,19414,311,1485615,percpu,true,default,true,0.45545123027408635
false,false,36483,disabled,11,19,48,auto,30,49813,471,19113393,percpu,false,never,false,1.3413556374584714
false,true,16914,secondary,5,30,11,always,727,30820,605,28060561,disabled,true,always,true,22.26526162790698
true,false,45981,primary,21,11,61,always,1918,316,126,10036495,phycpu,false,default,false,8.942175171303983
true,true,15459,disabled,2,12,27,disabled,1467,37077,88,15481922,percpu,true,never,true,136.7391702138705
true,false,34593,secondary,22,24,44,auto,1567,39731,218,16255527,phycpu,true,never,false,1.0941652823920283
false,true,30970,secondary,8,19,5,auto,1369,4692,31,2735939,disabled,true,default,true,0.9791061046511618
true,false,20993,primary,11,12,68,disabled,61,22904,441,27088965,percpu,true,default,false,-0.1381754827657798
false,false,12898,primary,10,7,75,auto,1569,41910,71,20753414,disabled,false,never,true,-0.5476958316029932
false,false,42931,primary,21,17,3,auto,835,21460,175,18118704,percpu,false,default,false,-1.7277272373338877
true,false,4715,primary,8,9,1,disabled,727,20576,31,18414293,phycpu,false,default,false,-0.9862015936461763
true,false,42525,primary,6,18,3,auto,109,635,59,31818752,phycpu,true,default,true,-2.9352419019933538
false,true,14656,secondary,9,20,49,auto,1760,31209,549,4882319,percpu,false,default,false,2.1948582848837233
true,true,42525,primary,5,18,3,always,49,1001,59,31818752,percpu,false,never,false,13.210246444144516
false,true,39961,primary,7,21,1,disabled,61,2406,59,31818752,phycpu,false,default,false,0.04330941133720878
false,false,41623,primary,23,14,75,auto,548,550,144,24916312,disabled,false,default,true,-2.776169279485053
true,false,35052,disabled,18,2,21,disabled,107,46625,571,16652151,percpu,false,never,true,3.1124993511212597
true,false,49643,primary,24,8,60,always,592,141,29,27850058,disabled,true,never,false,4.7935494964700975
false,false,39570,primary,23,14,75,disabled,345,550,144,21643181,disabled,true,default,true,-1.8698381696428628
true,false,46214,primary,11,14,2,auto,1578,619,103,32628759,disabled,false,default,true,-1.884395764119602
false,false,41855,primary,13,14,54,disabled,185,205,54,31639776,percpu,false,default,false,-2.5458043500830536
false,false,46214,primary,14,14,4,auto,1578,619,61,32628759,phycpu,true,never,true,-2.372839233803985
true,false,42175,primary,6,13,12,disabled,1327,525,103,28722932,phycpu,false,default,false,0.12337131436876828
true,false,42525,primary,6,20,3,disabled,109,635,59,30369162,percpu,false,always,false,17.85919655834718
true,true,42525,primary,6,19,3,disabled,92,504,59,31818752,phycpu,true,default,true,1.2340635382059804
true,false,42525,primary,14,22,3,auto,102,734,14,31818752,disabled,true,default,false,0.5553526007059802
false,false,41623,primary,6,16,76,auto,266,517,40,24916312,percpu,true,default,true,-2.3094632475083055
false,false,41623,primary,20,21,73,auto,548,601,106,20126766,disabled,false,never,true,0.5006099460132893
true,false,35187,primary,23,17,73,auto,548,656,2,22187377,phycpu,false,default,true,-1.8470268376245893
true,false,241,primary,16,14,61,auto,1965,593,444,27344949,percpu,false,default,true,-1.5025792929817288
