je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
false,false,31816,disabled,21,21,12,auto,3266,94,20264483,disabled,false,true,never,true,0.10542495068521535
true,true,7099,secondary,12,1,54,disabled,34053,451,808991,phycpu,true,false,default,false,0.17857142857142796
true,false,46420,primary,6,10,24,disabled,40533,490,10326629,percpu,false,true,always,true,20.35621333835133
false,true,20916,primary,16,27,61,auto,22148,214,27589721,disabled,true,false,never,false,-1.901191990240865
false,false,448,primary,13,18,39,always,49908,380,15089094,percpu,false,false,never,false,2.4418426209509967
true,true,25965,disabled,2,8,76,auto,12773,18,31413242,phycpu,true,true,always,true,267.709909027201
true,false,15040,secondary,8,14,8,always,6392,298,21928322,phycpu,false,false,default,false,3.1507604858803964
false,true,39794,disabled,19,26,50,disabled,30929,579,7862206,disabled,true,true,always,true,24.04296063901578
false,false,17910,disabled,11,29,34,always,45245,187,5380414,disabled,true,false,always,false,11.32830181945598
true,true,43175,primary,23,11,71,auto,17436,550,23820034,phycpu,false,true,never,true,0.06374584717607973
true,false,4099,disabled,18,3,2,always,11055,430,33209722,percpu,true,false,always,false,12.145123351848007
false,true,28565,secondary,5,22,44,disabled,26265,148,12833606,percpu,false,true,default,true,2.1876005762043182
false,false,49043,secondary,2,24,17,auto,1680,621,25236185,percpu,true,true,default,true,15.367513561565616
true,true,24541,disabled,15,12,59,disabled,35641,263,12090597,phycpu,false,false,always,false,11.132974719684386
true,false,35220,secondary,21,6,30,disabled,42119,64,2733727,phycpu,true,true,never,true,-5.266264145556478
false,true,9942,primary,8,16,67,auto,20561,341,17881251,disabled,false,false,default,false,-0.8842351666320624
false,false,42015,secondary,17,13,51,always,17046,33,17137162,percpu,true,false,never,true,-1.1649271309177744
true,true,15943,disabled,6,23,14,auto,45635,394,3936310,phycpu,false,true,always,false,19.181269141922755
true,false,29748,primary,12,17,63,always,26656,595,11393614,phycpu,true,false,default,true,1.8019865422549846
false,true,6039,primary,22,5,21,disabled,10665,312,26522738,disabled,false,true,never,false,-0.5355666658014958
false,false,23381,primary,19,10,80,always,36031,476,14054895,disabled,true,true,always,false,10.643971592088867
true,true,47079,primary,10,30,38,disabled,1289,120,32447443,phycpu,false,false,default,true,-0.2933937655730895
true,false,11127,disabled,4,21,48,always,20171,238,25088425,percpu,true,true,default,false,15.483194040697676
false,true,37162,secondary,13,5,11,auto,42510,516,4702101,disabled,false,false,never,true,-0.15708218698089743
false,false,9039,secondary,4,7,73,always,31319,249,6443285,percpu,false,true,default,false,9.013965492628738
false,false,16785,primary,17,6,3,disabled,39265,34,30491026,disabled,false,false,never,false,-3.5386812837416937
false,true,26695,primary,12,5,60,auto,41463,72,554719,phycpu,false,true,never,false,-5.100950931789867
false,false,24760,secondary,21,22,77,disabled,10494,25,1643544,percpu,true,true,never,true,-2.721296849044851
true,false,25027,disabled,12,5,54,disabled,39125,37,366435,phycpu,true,false,never,true,-3.816407872196842
false,false,41497,disabled,7,11,4,auto,32090,5,3261587,phycpu,true,true,never,true,-7.129853612956811
true,false,26695,secondary,7,5,61,auto,41463,26,554719,phycpu,true,false,never,true,-2.936583458783222
false,false,40607,disabled,10,11,4,auto,32090,5,783247,phycpu,true,true,never,false,-8.344832005294851
false,true,24760,secondary,10,27,77,auto,10494,5,995219,phycpu,true,true,never,false,-0.6402600057101324
false,false,37313,disabled,3,9,4,auto,29014,5,313415,percpu,true,true,never,false,-8.44022042410714
true,true,35254,disabled,3,12,1,auto,25382,15,293947,disabled,true,true,never,false,101.6878001064161
false,false,49278,disabled,3,10,1,auto,36661,4,2994302,percpu,false,false,never,false,-5.177145517545681
true,false,38989,disabled,13,12,7,auto,30884,5,644006,disabled,true,false,never,true,-3.9758795551287376
true,false,40607,secondary,3,7,4,disabled,32090,5,625874,percpu,true,false,never,false,173.33124935112124
false,true,32629,disabled,7,6,4,auto,29172,4,324726,disabled,false,true,never,true,-5.328582459509967
false,false,40607,disabled,10,3,3,auto,25488,5,783247,phycpu,true,true,never,false,-8.617213455149503
false,false,40607,disabled,10,3,2,auto,27411,5,25636,phycpu,true,true,default,false,-8.89622320130814
false,true,34118,disabled,10,3,2,auto,25596,11,37793,phycpu,true,false,default,false,-5.738274761212626
false,true,40257,disabled,3,1,1,disabled,26175,4,26215,percpu,true,true,default,false,-5.68799314784053
false,false,40607,disabled,8,4,3,auto,18701,5,8952,phycpu,false,true,never,false,-2.443396685527411
false,true,40607,disabled,15,3,2,auto,27411,5,25636,phycpu,true,false,never,false,-5.773474810527408
false,false,40607,secondary,8,6,1,disabled,27411,10,506454,phycpu,true,true,always,false,19.37558236866694
false,false,47315,primary,10,3,1,auto,21216,4,955355,phycpu,true,true,default,true,-8.754287466258306
false,true,40607,disabled,4,1,5,auto,27411,5,210713,disabled,true,true,default,false,-5.652348616590532
false,false,40607,primary,10,3,2,auto,23742,5,550068,disabled,false,true,default,true,-8.899603859530732
false,false,40607,primary,13,2,1,auto,23858,5,25636,percpu,false,true,default,true,-9.067926248442692
