je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,false,47975,secondary,12,7,6,14,3,37,auto,2269,19666,347,29015596,phycpu,19,10,true,true,16274,247588,27,339,9,default,true,1234.91797
true,true,22347,primary,15,14,13,28,10,79,disabled,1126,48760,250,12186193,disabled,52,2,false,false,1795,90091,46,108,54,never,false,1238.90625
true,false,31159,primary,21,10,4,20,14,46,always,309,12031,567,5009049,percpu,35,14,false,true,10418,56292,9,303,37,always,true,1334.75
false,true,4737,disabled,1,2,11,8,7,10,always,1603,31357,30,21963492,disabled,5,5,true,false,4131,159917,68,214,62,always,false,1403.04297
false,false,14689,disabled,5,8,2,17,16,70,always,1432,201,187,19897860,disabled,16,8,false,true,13942,229927,14,184,79,never,true,1269.58203
true,true,40037,secondary,19,16,10,3,5,28,always,176,30492,409,2937465,percpu,47,14,true,false,3813,110831,73,256,25,always,false,1355.82422
true,false,6468,primary,18,11,7,11,2,21,auto,698,17214,87,14241457,percpu,63,4,true,true,8534,23302,31,155,46,default,true,1231.94141
false,true,32585,secondary,9,4,15,23,12,58,disabled,1804,38516,510,31064780,phycpu,31,11,false,false,6597,196045,52,365,12,never,false,1240.94531
false,false,12177,primary,13,1,1,19,15,1,disabled,2188,25801,155,8158985,disabled,40,6,false,true,12450,127649,39,204,26,default,false,1230.89453
true,true,36244,disabled,10,9,9,1,6,43,auto,932,4893,532,25113462,percpu,8,13,true,false,2097,216034,58,274,71,never,true,1239.30469
true,false,16492,secondary,3,12,8,9,3,70,auto,559,43202,215,25866174,percpu,24,3,true,true,10114,180195,16,173,21,always,false,1968.49609
false,true,41353,primary,23,5,16,25,10,33,disabled,1665,12529,472,9036737,phycpu,55,9,false,false,7953,38178,76,384,45,default,true,1224.25781
false,false,25157,disabled,20,4,5,12,5,54,always,1237,44070,634,15294241,phycpu,59,12,true,true,14662,105905,2,357,57,never,false,1270.87891
true,true,1370,secondary,5,11,12,30,9,12,always,93,24356,52,32117598,percpu,28,3,false,false,471,232688,61,128,3,always,true,1320.02344
true,false,45879,disabled,8,15,4,22,13,24,disabled,762,36041,374,18845590,phycpu,11,15,false,true,11878,143119,23,322,68,default,false,1272.34375
false,true,21324,primary,17,7,12,6,8,62,auto,2056,7348,312,1885161,disabled,44,7,true,false,5879,70224,44,233,33,never,true,1221.27734
false,false,34880,primary,2,11,14,22,6,30,auto,1384,40000,177,23652332,phycpu,34,2,false,true,2966,29530,42,130,51,default,true,1260.64062
true,true,10422,secondary,22,3,6,5,14,67,disabled,241,15986,440,7056279,disabled,1,9,true,false,13061,186908,23,350,7,never,false,1242.91797
true,false,42333,disabled,14,7,10,13,11,59,always,614,29277,117,10368863,percpu,18,6,true,true,7350,220826,65,249,64,never,true,1274.53906
false,true,18643,secondary,12,14,3,28,2,18,always,1908,1746,499,27097892,disabled,49,13,false,false,9253,117082,5,311,39,always,false,1325.93359
false,false,2344,primary,10,9,10,9,9,76,disabled,2336,33096,337,33408964,disabled,61,16,true,true,626,50071,79,281,23,always,true,1330.59375
true,true,27302,disabled,18,2,3,25,4,38,auto,1080,10231,280,16681919,percpu,30,7,false,false,15075,169047,21,202,77,default,false,1258.16797
true,false,19953,secondary,19,5,15,17,8,7,auto,411,46947,596,726903,percpu,13,12,false,true,5458,256695,58,396,15,default,true,1264.85938
false,true,44118,disabled,4,13,7,3,13,48,disabled,1517,21344,20,17324812,phycpu,45,4,true,false,11715,83833,37,157,49,never,false,1249.78906
false,false,23717,disabled,23,16,9,11,10,15,disabled,1285,8671,604,11413199,disabled,21,13,true,true,1190,153189,54,263,73,default,false,1216.46875
false,false,32409,secondary,21,3,3,17,1,49,disabled,587,48407,503,7399981,disabled,18,8,true,false,14911,189656,68,387,27,always,false,1327.54688
true,false,34288,primary,23,15,3,7,2,14,auto,2013,3825,207,3294234,disabled,46,8,true,false,182,60345,59,205,30,default,false,1229.43359
false,false,2042,disabled,24,16,3,12,3,25,always,1786,11246,396,1312841,disabled,12,7,false,true,617,21160,18,200,73,never,true,1239.49609
false,true,23717,primary,23,16,12,11,8,15,disabled,1285,8671,604,5078187,disabled,21,12,true,true,359,134954,56,250,69,never,false,1228.6875
false,true,23717,disabled,23,16,9,11,10,15,auto,1285,8671,553,11413199,percpu,21,13,true,false,1190,153189,50,224,73,never,false,1225.53906
false,false,16248,primary,10,7,12,14,16,33,auto,149,18452,601,5146422,disabled,8,12,true,false,7539,228147,45,329,72,default,false,1216.46875
false,false,21642,primary,24,5,8,2,16,2,auto,105,21993,599,23844001,percpu,37,12,true,false,13153,215592,50,382,27,default,false,1229.54297
false,false,23717,disabled,10,10,9,2,5,15,disabled,1285,5029,604,11413199,disabled,25,6,false,true,1190,139449,45,263,73,default,false,1212.30859
true,false,23717,disabled,12,10,9,2,10,15,disabled,1163,652,604,11413199,disabled,25,6,true,true,1190,108486,41,263,73,default,false,1229.53125
false,false,23717,primary,10,11,12,5,5,15,auto,1130,5029,604,10224814,disabled,27,6,true,true,1190,139449,45,204,73,default,false,1213.29688
false,false,23717,disabled,10,10,9,3,7,15,disabled,1134,2690,604,9882461,phycpu,25,6,false,true,1190,139449,45,263,77,never,true,1214.08203
false,false,32537,primary,2,5,5,2,2,1,disabled,1501,6311,640,17600977,disabled,23,6,false,false,11986,166135,27,392,60,never,false,1261.75391
false,false,23717,secondary,10,10,12,1,6,15,auto,1285,5029,604,11413199,disabled,25,6,false,false,178,139449,45,215,73,default,true,1212.71094
false,true,23717,disabled,10,10,9,5,5,7,disabled,984,5029,604,7142574,percpu,25,5,false,true,660,139449,45,263,73,never,false,1229.50781
false,false,18584,disabled,4,11,12,2,2,15,always,1285,4105,604,11413199,disabled,25,6,false,false,16,119679,45,263,75,default,true,1268.84766
true,false,20770,secondary,10,6,12,2,4,15,disabled,1285,5029,604,11413199,disabled,21,1,false,true,178,139449,45,215,70,default,true,1247.98828
false,true,18666,disabled,10,10,9,2,5,15,auto,1285,5029,604,11413199,phycpu,25,6,false,true,544,139449,45,230,73,never,true,1225.55078
false,false,22228,primary,10,11,14,2,5,11,disabled,1285,3508,604,9901691,disabled,25,6,false,true,1190,139449,45,248,73,default,true,1211.8125
false,false,15561,primary,13,11,16,2,5,4,disabled,1285,3508,604,9901691,phycpu,26,1,true,true,1190,139449,45,248,73,default,true,1216.78125
false,false,22228,secondary,12,8,14,2,6,6,disabled,1198,3508,604,8723054,disabled,25,4,false,true,475,139449,45,248,71,default,true,1214.64453
true,true,45847,primary,12,15,6,6,10,58,disabled,2245,31779,630,14774367,percpu,21,12,false,true,9321,228765,4,204,40,always,false,1332.00391
false,false,22230,primary,7,14,12,1,5,14,disabled,1285,2342,604,11413199,percpu,19,15,true,true,1190,153189,52,228,71,default,false,1223.26562
false,false,23717,primary,7,16,14,1,9,15,disabled,1285,4175,604,9872525,disabled,10,9,false,false,1190,153189,54,263,73,never,false,1213.82812
false,false,21969,primary,5,10,12,9,5,9,auto,1125,4333,604,11413199,disabled,10,6,false,false,1190,139449,45,263,77,never,true,1225.19141
false,false,23717,primary,5,16,10,5,5,15,disabled,1285,5029,604,10031983,phycpu,27,6,false,false,1190,139449,38,211,73,default,true,1224.42969
