je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,false,43219,secondary,10,14,41,disabled,22699,634,17946092,percpu,false,false,never,false,-1.773821960651996
false,true,12906,disabled,15,24,29,always,42842,116,4369628,phycpu,true,true,default,true,7.6483920784883725
false,false,31541,secondary,24,19,67,auto,33873,182,14953617,phycpu,false,false,default,false,-2.7714000207641227
true,true,12145,disabled,1,5,6,always,399,382,28792231,disabled,true,true,never,true,62.35130943729235
true,false,22230,disabled,5,9,79,auto,29446,71,11663263,disabled,false,true,never,true,0.9634275721553154
false,true,46582,secondary,20,28,13,always,11259,510,31624873,percpu,true,false,default,false,4.356492356208472
false,false,2715,primary,17,20,53,disabled,15541,436,21237476,phycpu,false,true,always,true,14.08363073608804
true,true,28657,primary,8,4,36,auto,43933,317,1538004,disabled,true,false,always,false,31.179708588558967
true,false,5498,secondary,13,7,70,auto,25783,349,2555403,percpu,true,true,default,true,6.748663309800664
false,true,25679,disabled,12,17,19,always,8472,230,24479549,phycpu,false,false,never,false,3.5175619030315617
false,false,18763,primary,4,26,57,disabled,18228,156,30607222,phycpu,true,true,never,true,4.93510077086794
true,true,49854,primary,21,12,35,auto,47308,595,8420930,disabled,false,false,default,false,7.490635057620428
true,false,34519,primary,19,2,49,disabled,20116,274,25615482,disabled,true,false,always,false,18.28985899865033
false,true,9362,primary,5,21,23,always,39378,474,14001486,percpu,false,true,always,true,14.914966063642028
false,false,39947,disabled,8,27,63,auto,37434,540,7546117,phycpu,true,false,never,false,-3.601393791528243
true,true,16374,secondary,17,12,7,disabled,3280,21,18897970,percpu,false,true,default,true,5.459547277304818
true,false,27500,primary,2,22,27,auto,7635,494,20243914,disabled,true,true,never,false,23.315583796200166
false,true,3831,primary,23,1,43,disabled,26656,55,6790398,percpu,false,false,default,true,-1.2119108181063118
false,false,47063,disabled,14,11,3,disabled,49670,281,12655799,phycpu,true,true,always,false,17.443581615967616
true,true,21805,secondary,10,28,69,always,15854,401,26371457,disabled,false,false,never,true,3.293411609738375
true,false,6317,secondary,7,16,16,disabled,38650,90,9750457,percpu,true,false,always,true,16.49235945286545
false,true,37313,disabled,18,8,77,auto,20805,609,29867663,phycpu,false,true,always,false,11.675825049314785
false,false,18044,secondary,21,13,39,auto,5604,375,23150278,percpu,true,false,default,true,-2.2963883409468426
true,true,38123,disabled,4,25,51,always,35119,176,3295218,disabled,false,true,never,false,23.79000175197259
true,false,15163,disabled,22,29,16,disabled,42019,450,249389,disabled,false,false,default,true,11.736599031872924
false,false,22461,disabled,23,26,60,auto,34728,528,21685234,percpu,true,false,never,false,-2.786243121885385
false,true,36197,secondary,7,27,63,auto,37434,540,105365,phycpu,true,false,never,true,-2.0048373909883708
true,false,40429,secondary,5,23,23,auto,29371,601,16198412,percpu,true,true,always,true,32.22084587832226
true,false,22104,primary,3,13,75,auto,18282,633,20664593,disabled,false,true,default,false,51.12559210184801
false,false,44142,disabled,23,16,51,auto,40366,407,21010550,percpu,true,false,never,true,-1.8229031483596354
false,false,39947,secondary,14,27,60,disabled,28782,540,3362389,disabled,false,false,never,false,-3.9693015469269115
false,false,39462,disabled,12,12,59,auto,5795,550,23690561,disabled,true,false,never,false,-1.6664876842815595
false,true,39947,disabled,14,27,60,disabled,21750,540,1026922,percpu,true,false,never,false,-2.5795492888289067
false,false,39947,disabled,11,27,60,auto,29958,540,909683,phycpu,false,false,default,false,-4.065570818625414
false,false,38432,disabled,11,27,64,auto,31685,540,642802,phycpu,false,false,always,false,7.704070740759967
false,false,39947,disabled,11,27,60,disabled,30291,449,30649,disabled,false,false,default,false,-3.655278304090529
false,true,39947,disabled,11,30,60,auto,27741,540,369928,disabled,false,false,never,false,-2.0858709899294037
false,false,44740,disabled,14,30,41,disabled,28993,476,10083472,phycpu,false,false,default,false,-3.3919535792151203
false,false,39947,secondary,4,28,55,always,29958,517,301176,phycpu,false,false,default,false,1.3942392545681097
false,false,49850,primary,11,25,60,auto,29083,537,5413367,phycpu,false,true,never,false,0.09592049937707497
false,true,28762,disabled,21,9,11,auto,37429,471,319307,percpu,true,true,never,false,-2.3393522243563085
false,false,36197,primary,6,28,61,disabled,28990,532,942924,phycpu,false,false,default,true,-4.140582822882058
false,false,39947,disabled,1,28,62,disabled,29958,540,1224836,phycpu,false,false,default,true,-1.6660253581810633
false,false,27504,primary,11,27,60,auto,29958,509,909683,percpu,false,false,default,false,-4.206199063019104
false,false,26839,primary,9,27,60,always,13525,540,811797,percpu,false,false,default,true,0.6093685112126235
false,false,39947,primary,4,29,60,auto,28432,540,909683,percpu,false,false,default,false,-4.001228003010798
false,false,36630,primary,11,27,61,auto,28432,455,909683,percpu,true,false,default,true,-4.316735555959304
true,false,31836,primary,9,27,61,auto,28432,455,909683,disabled,true,false,never,true,10.067802961482563
false,false,36389,primary,10,27,61,disabled,28173,489,960148,phycpu,true,false,default,false,-4.3298607506229185
false,false,37132,primary,10,26,62,disabled,28782,485,1996791,disabled,false,false,default,false,-4.067147593957641
