je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
false,true,17010,primary,10,10,16,auto,33892,542,13733743,percpu,false,false,default,false,-3117373440.0
true,false,28975,primary,18,18,71,always,24277,218,33312906,percpu,true,true,always,true,21123213312.0
true,true,8392,secondary,20,30,25,disabled,843,49,20929204,disabled,false,false,never,false,5771423744.0
false,false,45646,disabled,3,6,41,auto,41720,394,1213783,phycpu,true,true,always,true,14841079808.0
false,true,33830,disabled,7,15,32,disabled,10452,296,23490114,phycpu,false,true,default,true,-201408512.0
true,false,21578,secondary,22,21,55,auto,44591,621,4960677,disabled,true,false,never,false,4216444928.0
true,true,40791,disabled,14,24,1,always,30531,474,8960925,disabled,false,true,never,true,16092626944.0
false,false,3824,primary,8,4,64,disabled,15155,131,27616376,phycpu,true,false,default,false,-5291390976.0
false,true,39710,secondary,16,7,40,disabled,7499,354,26382789,percpu,true,true,never,true,7150342144.0
true,false,1584,disabled,11,27,55,auto,48373,9,12537376,percpu,false,false,always,false,10631600128.0
true,true,35693,primary,2,16,10,always,28064,178,8143898,disabled,true,true,default,true,15788025856.0
false,false,23036,disabled,21,11,66,disabled,18452,502,22125565,phycpu,false,false,always,false,1321609216.0
false,true,9656,primary,23,1,16,always,37186,91,2453740,phycpu,true,false,always,false,12023945216.0
true,false,47312,secondary,5,25,79,always,21813,435,17346319,disabled,false,true,default,true,13400264704.0
true,true,14964,disabled,9,22,27,disabled,4629,581,30123319,percpu,true,false,default,false,5610901504.0
false,false,28091,secondary,13,12,50,auto,38764,256,15104722,phycpu,false,true,never,true,-3267282944.0
false,true,1028,disabled,3,26,74,disabled,49664,600,16670535,phycpu,true,true,always,false,21883346944.0
true,false,38679,primary,18,2,11,auto,9287,316,30638244,disabled,false,false,never,true,4156086272.0
true,true,23568,disabled,17,14,45,always,17103,150,17861274,disabled,true,true,always,false,17158529024.0
false,false,36699,secondary,11,22,22,always,26241,455,4019583,percpu,false,false,default,true,1198630912.0
false,true,49882,secondary,7,28,50,always,19973,237,21610088,percpu,true,false,default,true,4106131456.0
true,false,11749,disabled,15,8,35,always,35851,522,6578573,percpu,false,true,always,false,13230297088.0
true,true,25496,primary,22,11,61,disabled,40541,373,10972085,disabled,true,false,never,true,7026159616.0
false,false,12847,primary,6,17,5,auto,5926,69,25867346,phycpu,false,true,default,false,5236570112.0
false,true,29885,disabled,20,19,60,always,22978,415,29180397,phycpu,false,false,always,true,3650805760.0
false,false,546,secondary,13,15,75,disabled,70,15,30229841,phycpu,true,false,default,false,-5089892352.0
false,true,857,secondary,11,11,28,disabled,81,22,27460264,phycpu,true,false,default,false,-2714628096.0
true,false,546,primary,6,2,63,auto,70,39,29187499,phycpu,false,true,default,false,2327656448.0
true,false,3203,secondary,8,1,11,always,41312,31,30644432,phycpu,true,true,default,true,11965208576.0
false,false,546,primary,10,16,73,disabled,70,15,30229841,disabled,false,false,default,true,-5535547392.0
false,true,296,primary,13,5,69,auto,70,3,30229841,percpu,false,false,never,true,-2935224320.0
true,false,32937,primary,12,16,75,always,1823,9,27855706,disabled,false,false,never,false,9653981184.0
true,false,131,secondary,4,20,73,disabled,70,15,27721011,disabled,false,false,default,false,2357135360.0
false,false,1304,disabled,6,6,74,auto,70,34,23401754,phycpu,true,false,default,false,-5547704320.0
false,false,7912,disabled,10,17,74,disabled,65,70,11259746,disabled,true,false,never,false,-5508386816.0
false,false,1304,disabled,6,8,74,always,65,34,23401754,phycpu,false,true,default,true,5078609920.0
false,true,1717,primary,10,16,74,disabled,54,27,28647625,percpu,true,false,default,true,-2755362816.0
false,false,409,disabled,6,5,74,auto,70,9,30229841,disabled,true,false,default,true,-4480729088.0
false,false,1575,primary,7,17,74,disabled,70,33,25207840,disabled,true,false,never,false,-5099601920.0
false,false,4228,disabled,14,16,71,disabled,65,37,9523985,disabled,false,true,never,true,-3252496384.0
false,false,2281,primary,9,2,74,always,70,28,23584827,disabled,false,false,never,false,5992448.0
true,false,402,disabled,9,24,50,disabled,70,42,28158697,disabled,true,false,default,true,2282643456.0
false,false,1203,primary,10,7,74,auto,70,20,18298208,disabled,true,false,default,false,-5889888256.0
false,false,1192,disabled,10,4,75,auto,37,17,13854365,phycpu,true,false,never,false,-5593976832.0
false,false,955,primary,10,3,76,always,65,1,10134994,disabled,true,true,never,false,98185216.0
false,false,799,disabled,8,15,75,auto,87,22,16836299,disabled,false,false,default,true,-5183870976.0
false,true,1557,primary,10,8,74,auto,397,22,21186205,disabled,true,false,always,false,8680239104.0
true,false,3560,primary,2,6,40,disabled,29004,2,27458954,percpu,false,false,always,true,10693402624.0
false,false,1097,primary,10,8,75,auto,44,33,18547350,disabled,true,false,default,false,-5572284416.0
false,false,1203,secondary,11,7,64,auto,70,14,14186599,disabled,true,true,default,false,-4103538688.0
