je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
true,43919,disabled,6,7,9,4,2,5,disabled,1031,4585,590,1411673,phycpu,21,9,false,8361,179946,48,254,63,default,false,-0.7816620379983401
false,20204,primary,21,12,4,16,12,78,auto,2066,45382,59,25604399,percpu,41,4,true,7846,84925,24,247,12,never,true,-2.403729106104654
false,29066,primary,12,10,7,15,14,49,auto,1466,33890,480,10161319,disabled,13,8,false,3575,256995,61,111,57,always,false,1.1067016196013286
true,3807,secondary,15,4,13,27,5,35,always,431,16141,169,17315793,percpu,48,13,true,13308,39093,7,390,26,never,true,5.194673354443518
true,35550,secondary,18,2,12,11,14,53,always,1533,23894,390,33043421,percpu,62,15,true,398,140609,57,291,47,always,true,11.156739903446837
false,9701,disabled,8,12,2,24,8,27,disabled,178,26067,259,7014571,disabled,3,5,false,16257,120437,32,209,36,always,false,4.474791061046513
false,37902,secondary,23,14,6,7,3,16,disabled,778,37628,519,24556835,percpu,39,2,true,11476,217642,75,148,72,never,true,-2.3033313434385363
true,13599,disabled,4,5,15,21,9,62,auto,2132,12409,128,15044181,phycpu,27,12,false,4831,74591,20,352,1,default,false,4.345368952450161
true,28120,secondary,8,14,13,9,13,58,always,2273,184,287,22135321,disabled,59,8,true,1694,233941,52,176,77,always,false,5.016838403239195
false,1627,disabled,16,8,8,25,7,25,auto,638,49966,356,12777839,phycpu,8,14,false,14483,31362,37,324,7,always,true,4.5295499377076425
false,49211,secondary,1,3,4,6,4,16,auto,38,36337,97,31409383,phycpu,35,10,true,11200,187614,80,338,42,never,false,1.3127498183139514
true,24286,disabled,22,9,10,21,10,69,disabled,1673,13510,545,5013393,percpu,31,3,false,5581,107915,15,162,31,default,true,1.1713266974667804
true,42410,primary,19,11,15,2,1,7,auto,571,21458,8,12352413,disabled,17,3,false,10171,209918,43,214,53,default,true,-1.263908715739204
false,18465,secondary,5,1,5,18,11,72,disabled,1326,28710,636,19874027,phycpu,45,11,true,6582,51529,29,287,22,never,false,1.2472000882475058
false,33819,disabled,14,6,2,12,15,42,disabled,1926,42017,218,3341667,percpu,10,14,false,2789,163607,66,376,67,default,true,-1.7080045681063174
true,8305,primary,10,15,11,30,6,36,always,1171,7813,426,27379221,disabled,53,6,true,13544,128098,2,125,16,never,false,4.171709535921925
true,32571,primary,24,5,5,17,16,21,disabled,1076,22792,143,32161367,phycpu,24,8,true,3855,176132,39,144,20,never,true,-0.2324575633305658
false,6526,secondary,3,10,14,4,6,57,always,1830,27261,491,7963937,disabled,44,12,false,12548,88753,53,357,68,default,false,2.036444274294016
false,41168,disabled,17,13,11,28,2,67,auto,1231,40292,273,23345321,percpu,17,9,true,8785,253163,12,306,25,never,true,0.5225809800664438
true,16680,secondary,9,7,1,14,10,12,always,476,9653,361,16188383,phycpu,52,5,false,7262,42905,75,196,53,default,false,4.892918786337202
true,46895,secondary,11,6,8,23,4,74,auto,1765,5003,182,460755,phycpu,62,1,false,11820,152109,27,107,35,always,false,8.781697726328911
false,23380,primary,15,15,14,11,10,11,disabled,129,45068,451,26492069,disabled,3,11,true,4135,108921,43,395,44,always,true,2.75161570805648
false,25798,primary,6,12,10,19,12,40,always,729,31910,73,9011501,disabled,38,16,false,886,229156,5,269,10,default,false,4.881365500415278
true,726,disabled,20,3,4,8,7,43,auto,2365,18018,560,18528859,percpu,26,5,true,15737,63087,70,233,78,never,true,-1.0289756800249183
true,39431,primary,13,9,3,25,3,77,disabled,2224,19380,404,11466263,percpu,57,10,false,10552,245437,22,372,6,always,true,8.731727574750826
false,31926,primary,22,13,6,8,14,79,disabled,132,38200,24,16282060,phycpu,21,2,false,4669,183106,34,198,7,always,false,2.6546764690614575
false,39208,secondary,19,12,11,3,1,32,always,1992,46122,480,773198,percpu,20,1,false,4274,175450,69,153,58,default,false,4.220719346968436
false,20204,secondary,23,14,4,18,12,78,disabled,2066,45382,24,25604399,percpu,43,2,true,6841,84925,19,178,12,never,true,-2.0153297601744184
true,20204,secondary,23,12,1,16,10,78,disabled,1977,45382,47,23889690,percpu,41,3,true,7846,84925,10,247,4,never,true,-0.012773177948505354
true,11804,primary,20,9,8,10,3,65,disabled,1960,42883,319,25996487,disabled,41,1,false,13899,165997,11,283,61,always,true,2.931504360465116
false,6105,disabled,21,13,4,11,12,24,auto,2074,20600,50,25895581,percpu,29,2,true,16321,222327,72,121,69,always,true,9.044749922134551
false,11409,primary,24,14,11,4,4,21,auto,2147,39760,55,21811274,phycpu,11,4,false,7921,195848,52,156,29,never,false,-2.8105566081810682
false,1574,secondary,24,16,7,1,1,46,always,2220,21159,19,2524391,disabled,10,8,true,14200,134741,50,331,50,never,false,0.3667430180647827
false,34322,primary,24,15,11,28,6,37,auto,2321,41445,201,33413751,phycpu,12,4,true,5598,249680,19,198,11,default,true,0.2039523203903636
false,30554,primary,24,13,13,8,15,36,auto,2212,41445,129,33413751,phycpu,1,2,true,5598,216992,19,176,13,never,true,-2.28302468334718
false,6878,primary,24,14,11,2,4,19,disabled,2147,39760,5,20370887,percpu,11,4,false,7921,195848,52,156,26,never,false,-2.5665100705980115
false,11409,primary,24,8,12,5,1,5,auto,2147,39760,28,21811274,phycpu,7,4,true,7921,195848,52,156,29,never,false,-2.856805440199336
false,49927,primary,24,3,13,4,15,4,auto,1917,34684,452,27201546,phycpu,51,3,false,16006,91373,6,237,60,always,false,2.9469736295681024
false,9417,primary,24,8,12,5,3,5,auto,1878,39760,27,21811274,phycpu,4,4,false,7111,195848,51,150,29,always,false,2.953459172549829
false,11409,primary,22,12,12,5,1,5,auto,2147,39760,28,21811274,percpu,6,6,false,7921,177551,51,156,29,never,false,-2.5154238475913613
false,6606,primary,24,6,13,4,1,10,auto,2048,39760,49,20485868,phycpu,6,4,false,7921,195848,52,110,29,never,false,-2.65793384032392
true,11409,secondary,24,6,6,5,4,5,always,2147,32794,37,18587506,phycpu,7,4,true,6811,195848,54,123,29,never,true,4.236539010589697
false,8802,secondary,20,12,8,13,10,56,always,1096,34469,333,26364708,phycpu,1,14,false,13320,101444,12,378,78,default,true,3.1344736295681073
true,21330,primary,7,9,10,6,4,18,disabled,2139,41902,1,857058,phycpu,7,13,true,4663,203368,34,112,49,never,true,-1.045713507059802
false,11409,secondary,22,8,15,7,1,5,always,2147,39760,14,19897562,phycpu,7,2,true,7921,177551,52,131,18,never,false,3.5374273255813957
false,23312,primary,24,3,9,25,12,1,always,1010,21426,115,11532440,phycpu,38,10,false,4520,237439,32,118,21,always,false,6.4545882215531485
false,11409,primary,24,10,11,9,6,4,auto,2147,39760,8,21811274,phycpu,11,7,false,5059,175440,52,137,26,never,false,-2.501430777616283
false,4687,primary,24,12,11,5,1,1,auto,2045,39760,8,21811274,phycpu,8,2,true,7921,195848,50,138,29,never,false,-2.4002965375830594
false,8669,primary,24,14,11,4,1,6,auto,1882,38424,55,21811274,disabled,11,4,true,6630,195848,56,137,29,never,true,-2.5929583679402053
false,11409,primary,24,1,12,3,6,10,auto,2147,38713,11,21811274,phycpu,9,6,true,2789,165369,52,137,21,never,true,-2.608369237956816
false,3727,primary,24,2,12,5,1,10,always,2147,35732,28,20051181,phycpu,7,4,false,7921,195848,52,143,29,never,false,2.671271542774085
false,11409,disabled,24,8,14,3,6,24,auto,2055,37246,55,21811274,percpu,7,4,false,7921,195848,55,156,30,never,false,-2.183801391196015
false,3762,primary,24,12,12,5,1,9,auto,2147,38073,28,21811274,phycpu,7,12,true,5830,195848,52,156,29,never,false,-2.908686539659463
false,4347,primary,24,8,12,2,1,9,auto,2055,38716,28,21811274,phycpu,3,12,true,7921,174558,52,156,27,never,false,-2.492833134343855
true,3468,primary,5,9,14,5,10,10,auto,2046,40943,30,21314652,phycpu,29,2,true,77,156871,76,213,52,never,false,0.7511193158222604
true,3137,primary,24,14,16,2,7,21,auto,2147,38274,42,20370887,disabled,7,7,true,6133,195848,52,147,26,never,false,-1.2580752958887065
false,3762,primary,24,6,5,4,1,13,always,2147,38073,4,20763418,phycpu,3,15,true,5830,195848,49,156,29,never,false,2.862862723214288
false,6395,secondary,12,3,8,5,1,5,auto,2147,39760,7,21811274,phycpu,8,8,true,4409,195848,52,156,29,never,true,-2.4658495120431905
true,37303,secondary,20,4,1,15,12,61,auto,833,4847,287,10676124,percpu,56,4,false,7447,138460,2,371,60,default,false,0.5618608544435213
false,3762,primary,23,9,12,5,2,1,disabled,2147,38073,18,20113715,phycpu,11,12,false,5830,195848,52,156,29,never,false,-2.9107369964700993
