je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,false,10348,primary,11,8,18,always,26597,168,14960290,disabled,false,true,always,true,0.0035185449543189383
false,true,43638,secondary,21,25,51,always,17643,631,18518639,phycpu,true,false,never,false,0.007715168189368792
false,false,23703,disabled,17,20,40,auto,3104,324,32026549,percpu,false,true,never,true,-0.003589921615448499
true,true,28671,primary,1,8,73,disabled,43285,158,1473404,disabled,true,false,default,false,0.004991499688538228
true,false,48974,primary,5,15,24,auto,8170,524,27692738,disabled,false,false,default,false,-0.0003731052740863609
false,true,3355,disabled,15,28,69,disabled,49156,278,5790223,phycpu,true,true,never,true,-0.030883383513289023
false,false,35765,secondary,22,17,2,disabled,34007,48,11167701,phycpu,false,false,always,false,0.008563577138704318
true,true,18078,primary,7,2,47,always,24296,431,22328092,percpu,true,true,default,true,0.012779666735880418
true,false,33093,disabled,19,6,28,auto,11205,109,23565374,percpu,true,false,never,false,0.0016530185838870618
false,true,13062,secondary,11,22,65,disabled,45928,375,10043633,phycpu,false,true,default,true,-0.03173179246262458
false,false,44691,primary,3,23,6,always,37224,580,7044395,percpu,true,false,always,false,0.009742914244186059
true,true,2978,secondary,17,11,43,auto,21276,217,26585572,disabled,false,true,never,true,0.002118589078073093
true,false,20156,secondary,13,3,13,always,29813,461,2448478,disabled,true,true,always,true,0.008373780107973435
false,true,27468,disabled,5,16,56,always,14621,17,31164561,phycpu,false,false,default,false,0.020172017753322263
false,false,8314,primary,9,29,35,auto,6137,309,19510603,phycpu,true,true,default,true,-0.03442950581395347
true,true,37698,disabled,23,13,78,disabled,40055,495,14115204,percpu,false,false,never,false,-0.1341118796719269
true,false,15079,secondary,2,17,55,auto,44591,245,13473174,disabled,true,false,default,true,0.002478716777408651
false,true,32548,primary,16,4,19,disabled,10588,558,20136283,percpu,false,true,never,false,0.0015329760174418664
false,false,113,primary,20,13,72,always,19438,408,29457537,phycpu,true,false,always,true,0.011678195078903667
true,true,45901,disabled,12,28,36,always,34764,72,4171856,percpu,false,true,always,false,0.020180128737541526
true,false,25676,disabled,8,22,65,always,13614,607,26172918,disabled,true,true,default,false,-0.0008419201619601353
false,true,20488,primary,22,5,23,auto,29648,192,7440699,phycpu,false,false,always,true,0.004284221864617937
false,false,40398,disabled,14,12,48,auto,37986,125,8631521,percpu,true,true,never,false,-0.0066185631229235915
true,true,7281,secondary,6,24,6,disabled,3128,358,24993840,disabled,false,false,default,true,0.006174081187707665
true,false,40765,primary,18,27,61,disabled,16650,21,21907210,disabled,false,true,never,false,-0.0040084484011627675
false,false,10614,disabled,24,29,51,auto,46366,383,16343333,phycpu,true,true,default,true,-0.004723837209302315
false,true,26401,secondary,12,28,78,always,1901,373,22643510,disabled,false,true,always,false,0.01133753374169435
true,false,12920,disabled,24,14,80,always,24988,507,9129926,phycpu,false,false,never,false,0.0029296875000000173
true,false,32487,primary,24,8,77,auto,48351,494,13854033,percpu,true,true,default,true,-0.007593503426079731
false,false,40379,primary,23,27,80,always,45991,247,27860444,percpu,true,false,always,false,0.0067012951619601436
true,false,33357,primary,23,2,79,disabled,41019,496,9637982,disabled,true,true,default,true,-0.00372456395348837
true,true,37698,disabled,23,16,78,disabled,40055,485,8528468,disabled,true,true,default,false,-0.002822622508305647
true,true,37698,disabled,24,9,74,auto,40055,495,12709038,percpu,true,true,never,false,-0.002988086586378719
true,false,28086,disabled,20,7,78,disabled,40055,495,6983167,percpu,true,true,default,false,-0.007507526993355463
true,true,28589,primary,23,11,79,disabled,46550,582,26513466,percpu,false,true,never,false,-0.0030886627906976743
true,true,35241,disabled,23,6,78,disabled,40055,495,12709038,percpu,false,false,always,false,0.0074507501038206195
false,true,42153,primary,14,13,78,disabled,48700,630,24639320,phycpu,false,false,never,false,0.0004363709509966928
false,true,17721,secondary,11,7,47,disabled,32294,500,17549820,percpu,true,false,never,false,-0.03494212001661128
true,false,37698,disabled,24,13,78,disabled,38388,383,11193535,percpu,true,false,default,true,0.0002968620224252693
false,true,5172,secondary,4,17,55,disabled,39344,504,19059615,percpu,false,false,default,false,0.001145270971760803
true,true,37698,secondary,24,21,79,disabled,40055,495,14115204,percpu,false,false,never,true,0.0023359634551495174
true,true,37698,disabled,23,9,43,auto,40055,495,14115204,percpu,false,false,never,false,0.008837728405315628
false,true,49736,disabled,13,8,78,disabled,41022,35,16095700,percpu,false,false,never,true,0.0008062318313953568
true,true,37698,disabled,23,14,65,disabled,40055,495,14115204,percpu,false,false,never,true,0.0037829630398671247
false,true,37698,disabled,8,13,80,disabled,37915,495,13473471,disabled,false,false,never,false,0.0006164348006644591
false,true,12765,primary,13,17,56,disabled,17704,263,8346483,disabled,false,false,always,true,0.008107739825581406
true,false,48910,disabled,24,13,56,disabled,48063,370,15547036,phycpu,false,true,default,false,-0.001507020867940185
false,false,25956,disabled,21,13,78,disabled,40055,458,13144324,percpu,false,true,never,false,-0.007230131333056479
false,true,35625,secondary,23,13,77,disabled,40055,396,14115204,percpu,true,true,never,false,-0.003077307412790693
true,false,21445,disabled,14,12,78,disabled,39679,519,17334993,percpu,true,false,never,true,0.0008435423588039857
