je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,true,49711,disabled,16,5,47,always,27368,254,22375583,phycpu,true,false,always,true,236.66372508305656
false,false,14230,secondary,10,20,40,disabled,12847,418,10098936,percpu,false,true,default,false,2.880505736087996
false,true,28880,disabled,3,27,79,disabled,8378,492,5512490,disabled,true,false,default,true,10.524887743978354
true,false,7329,primary,21,13,7,auto,45128,18,26962243,phycpu,false,true,never,false,167.7314485568936
true,true,20328,primary,19,3,67,disabled,3713,344,258856,percpu,true,true,never,false,165.6839960548172
false,false,43418,primary,5,16,20,auto,43539,189,30181184,disabled,false,false,always,true,91.5310731805441
false,true,1035,secondary,12,24,59,always,35502,102,16941726,disabled,true,true,default,false,35.59786064680233
true,false,34979,disabled,14,10,27,always,23472,587,13498101,phycpu,false,false,never,true,215.36007903343017
true,true,4003,primary,7,14,61,disabled,12,63,16018346,phycpu,false,true,default,false,167.37997527772006
false,false,31806,primary,17,29,14,auto,40229,549,20651969,percpu,true,false,never,true,11.91067048639942
false,true,23800,disabled,24,22,55,auto,32585,462,32840221,disabled,false,true,always,false,79.86973921563542
true,false,40529,secondary,2,7,23,always,20945,307,3829364,phycpu,true,false,default,true,418.960272399294
true,true,25403,secondary,5,11,41,always,31094,613,27456542,percpu,false,false,default,true,198.235674379672
false,false,10212,disabled,21,26,34,always,16183,139,7176311,disabled,true,true,never,false,32.79595196999589
false,true,46737,secondary,14,18,75,disabled,11319,213,10716587,percpu,false,false,never,true,2.434755242940165
true,false,17396,primary,10,4,3,auto,47678,377,23916996,phycpu,true,true,always,false,329.8650526889535
true,true,34301,secondary,22,25,37,disabled,38372,174,24645453,percpu,false,true,never,true,185.79246749117527
false,false,5033,disabled,4,11,49,auto,1879,338,12024614,disabled,true,false,always,false,82.63046842556051
false,true,38040,primary,9,3,9,always,19275,572,7962360,disabled,false,true,default,true,30.00120529225502
true,false,22775,primary,16,18,76,always,34247,98,28707473,phycpu,true,false,always,false,312.77189965739205
true,true,11144,disabled,13,30,17,auto,17838,424,3051771,phycpu,false,false,never,false,174.17636361866687
false,false,27995,secondary,11,15,69,always,29440,268,31581330,percpu,true,true,default,true,97.29327858959715
false,true,16470,disabled,6,8,29,disabled,49526,23,19915088,disabled,false,false,always,false,70.58533566497107
true,false,44151,secondary,19,22,56,auto,9468,507,14718247,percpu,true,true,never,true,202.7870120431894
true,true,13594,secondary,1,16,11,always,14116,144,14223484,percpu,true,false,default,false,269.55212929557723
false,true,6118,secondary,10,18,41,disabled,11293,445,1339267,disabled,true,true,default,true,18.129620016611295
false,true,46737,secondary,6,17,74,disabled,5748,116,9077660,percpu,false,true,never,false,7.19789341517857
false,false,5233,primary,11,18,42,disabled,11480,381,11153531,percpu,false,false,always,true,72.8991074672964
false,true,46737,secondary,14,19,74,auto,11319,154,5397971,percpu,false,false,always,false,65.51694060164047
false,true,16152,primary,17,15,77,disabled,36271,20,9752734,phycpu,true,true,default,true,10.266986023152025
false,false,46737,secondary,2,20,75,disabled,11319,191,10716587,percpu,false,true,never,true,16.146051248442667
false,false,34062,secondary,16,4,62,disabled,17868,460,10269991,percpu,true,false,default,false,-2.0430677040074103
false,false,24191,disabled,16,4,56,disabled,14864,413,10269991,percpu,true,false,default,false,-0.5827109504775998
false,true,24647,disabled,24,1,20,disabled,28646,235,10837263,percpu,true,false,never,true,6.946926585859687
false,false,30818,secondary,17,3,26,disabled,22676,217,4706180,percpu,true,false,default,false,-1.5945870535715105
false,false,47719,secondary,16,2,19,disabled,21397,562,3135052,percpu,true,false,always,false,78.35410286025761
false,false,36625,disabled,24,2,29,disabled,43059,570,9283149,disabled,true,false,default,false,-4.507775189472539
false,false,43436,disabled,14,1,76,auto,30787,605,2976747,disabled,true,true,default,false,14.918549496470124
false,false,37931,secondary,13,9,11,disabled,38280,573,9297350,disabled,false,false,never,false,-5.5593642935008845
false,true,37931,secondary,4,3,4,disabled,38280,521,9297350,phycpu,false,true,never,false,12.309748754152892
false,false,40020,primary,15,14,21,disabled,40479,575,3823776,disabled,false,false,never,true,-3.2657077320390338
false,false,36625,secondary,24,4,26,disabled,43059,570,9283149,disabled,false,false,default,false,-1.4267805232558777
false,false,31907,primary,6,2,10,disabled,38535,538,5182695,phycpu,true,false,never,true,-2.243154329319
false,false,37931,secondary,11,7,11,disabled,38280,573,9297350,phycpu,false,false,default,true,-4.336527979651152
false,false,37931,secondary,4,9,1,disabled,38280,573,1101788,percpu,false,false,never,false,-4.471348759343895
false,false,37931,disabled,14,8,4,disabled,38280,573,9297350,disabled,false,false,never,false,-5.170827060838862
false,false,37931,disabled,17,9,2,disabled,34940,573,8002830,disabled,false,true,default,false,-3.0614747715946917
false,false,33201,secondary,13,21,50,disabled,42512,581,9963348,disabled,false,true,never,true,1.7699108440615032
false,false,37221,disabled,14,14,5,disabled,39147,575,1272064,disabled,true,false,never,false,-2.8394122456394486
false,false,38739,secondary,14,2,56,disabled,37684,565,10299005,disabled,false,false,never,true,1.0403051027823045
