je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
false,false,41571,disabled,7,6,47,disabled,42544,633,9329464,disabled,false,true,default,false,-4.955404186565618
true,true,11534,secondary,18,22,1,always,21496,188,18583263,phycpu,true,false,always,true,31.57889878789453
true,false,37495,primary,20,23,61,auto,3845,147,28483379,phycpu,false,true,never,false,19.53483667722176
false,true,15660,secondary,5,9,27,disabled,32114,354,2575066,disabled,true,false,always,true,25.938669603924417
false,false,4502,secondary,3,1,76,auto,10205,247,30650986,percpu,false,false,always,true,11.441479248858005
true,true,48604,disabled,22,16,33,disabled,25706,533,4614019,percpu,true,true,never,false,19.983596345514943
true,false,24255,primary,13,29,53,always,49636,413,15693423,phycpu,false,false,always,true,30.45076145919851
false,true,28900,disabled,12,14,17,always,14452,48,24814472,disabled,true,true,default,false,8.444730131333028
false,false,19065,primary,16,11,73,auto,7698,363,22672338,disabled,true,false,never,true,-8.108291372508349
true,true,27791,secondary,9,25,39,disabled,28265,98,13379129,phycpu,false,true,default,false,20.849057828073075
true,false,2096,disabled,6,20,59,always,46297,219,6633429,phycpu,true,false,default,true,10.211907573712585
false,true,44808,primary,19,5,14,auto,17741,562,32563772,disabled,false,true,never,false,-3.547520634343841
false,false,31698,secondary,24,12,45,always,39643,40,268940,percpu,true,true,always,false,27.711857285610446
true,true,15158,disabled,1,27,9,always,24443,462,26333029,percpu,false,false,default,true,27.043416476328918
true,false,39339,secondary,11,18,68,auto,118,502,20504201,phycpu,true,true,always,false,47.31771860724665
false,true,7566,primary,14,3,26,disabled,35797,318,11340642,disabled,false,false,never,true,-4.100576204318875
false,false,26435,primary,4,28,5,auto,30757,550,12246411,percpu,true,false,default,false,-6.219810916735884
true,true,20421,disabled,21,13,49,disabled,8329,271,19859554,percpu,false,true,never,true,15.700972344788205
true,false,46186,secondary,17,4,29,always,17010,72,25565584,phycpu,true,false,never,false,34.845446817898676
false,true,718,disabled,8,18,65,always,43900,430,1297511,disabled,false,true,default,true,11.807938382475065
false,false,13389,primary,12,26,34,always,22052,172,31929559,disabled,true,true,default,true,5.565929324127872
true,true,33466,secondary,14,12,79,auto,38907,609,7528768,phycpu,false,false,always,false,38.09290645764122
true,false,9313,disabled,22,6,20,auto,36434,330,14414034,phycpu,true,true,never,true,8.403367356208438
false,true,37591,secondary,3,21,53,disabled,2604,131,21898555,percpu,false,false,always,false,14.480210820701817
false,false,9787,secondary,19,16,36,always,19484,456,23950701,percpu,false,true,always,true,16.124175924003335
false,false,46884,primary,23,1,73,auto,434,372,11133257,disabled,false,true,always,true,10.127966998027372
false,true,14598,primary,9,2,12,disabled,3243,569,18917271,disabled,true,false,never,false,-3.487046758201819
false,false,35167,primary,1,29,77,disabled,28489,283,17105956,disabled,true,true,never,false,0.3437921771179464
true,false,45467,secondary,21,16,71,auto,13054,583,23030122,percpu,false,false,always,false,40.21367252387874
false,false,16349,primary,18,10,75,auto,38003,489,24215145,disabled,true,false,never,true,-5.367771490863763
false,false,26261,primary,8,15,72,auto,43113,374,26082681,disabled,false,false,always,true,7.188922666632051
false,true,46667,primary,6,18,73,auto,994,308,13922688,phycpu,true,false,never,true,-3.5690780082017803
false,false,12014,primary,16,11,75,disabled,38003,342,21963088,disabled,true,false,never,false,-8.217655017130374
false,false,9157,primary,15,11,71,auto,36392,342,21963088,disabled,true,false,default,true,-6.6338279952242925
false,false,13214,primary,16,11,75,disabled,38003,489,22155985,disabled,true,false,never,true,-7.891463675768213
false,true,11348,primary,17,11,69,auto,5928,310,22672338,phycpu,true,false,never,true,-3.224841349148676
false,false,19268,primary,16,14,75,always,39202,343,18145072,disabled,true,false,default,true,2.4318839545265325
false,false,12338,primary,15,11,73,auto,1292,353,22672338,disabled,true,false,default,true,-8.869881968957634
false,false,12497,primary,12,11,73,auto,1516,353,22672338,percpu,true,false,default,true,-7.729756605585504
true,false,1370,primary,6,12,74,disabled,208,411,16455699,disabled,true,true,always,false,31.069713909364623
false,false,10675,primary,15,11,75,auto,937,353,22672338,percpu,false,true,never,true,-7.299133098006647
false,true,7383,secondary,10,22,57,always,42306,622,18736689,phycpu,true,false,default,true,9.646331888496693
true,false,11877,primary,8,11,73,auto,826,363,16790115,disabled,true,true,default,false,7.144888133305662
true,true,12338,primary,15,11,74,disabled,109,327,22672338,disabled,true,false,default,true,10.529566159676094
false,false,11004,primary,16,11,73,always,934,363,22672338,disabled,true,false,default,false,6.600655691964279
false,false,12338,primary,15,11,75,auto,1292,353,22672338,disabled,true,true,default,true,-7.768903459821425
false,true,12338,primary,16,2,77,disabled,1049,353,21653642,phycpu,false,false,default,false,-2.7927189316861027
false,false,3237,primary,2,13,72,auto,1292,353,22672338,disabled,true,false,default,false,-3.4863767909053625
false,false,12338,primary,15,11,73,auto,1650,308,22672338,disabled,false,true,never,true,-8.681332407599669
false,false,11977,primary,14,11,73,disabled,1384,339,22246532,phycpu,true,false,default,false,-8.525507423172698
