je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,true,45837,disabled,14,11,9,26,15,11,disabled,357,2592,287,17707369,disabled,61,11,false,true,8303,136880,53,213,60,always,false,7365.51562
true,false,12424,secondary,6,7,7,13,3,79,auto,1710,26885,401,16672964,percpu,7,8,true,false,3772,163179,22,303,34,always,true,7352.01562
true,true,31490,primary,9,1,12,6,8,47,auto,2384,13295,14,7730366,percpu,17,13,true,true,14860,224073,69,165,51,default,false,7115.44141
false,false,22662,primary,21,15,3,19,11,24,disabled,1032,37686,539,25537813,phycpu,41,2,false,false,5337,75165,17,394,4,never,true,7084.74609
false,true,4879,primary,19,10,16,5,6,65,always,878,22424,365,31273937,phycpu,35,3,true,true,10479,99381,75,358,14,default,false,7147.70703
true,false,40197,primary,11,7,2,20,9,8,disabled,1931,48084,162,2976378,disabled,27,15,false,false,1598,188320,3,126,41,never,true,7085.0
true,true,16290,secondary,4,4,12,27,13,40,always,1256,11624,574,10941960,phycpu,16,5,false,true,12938,250291,50,265,24,never,false,7180.77344
false,false,26241,disabled,16,13,6,12,1,53,auto,204,37382,139,22458285,disabled,56,10,true,false,7257,38262,38,177,71,default,true,7101.97266
false,true,15075,primary,5,14,15,1,5,28,auto,571,45746,632,4285733,phycpu,23,2,true,true,11463,178809,41,331,47,always,true,7409.97656
true,false,29690,primary,15,2,1,22,9,44,always,1618,21650,117,28392590,disabled,47,14,false,false,534,89689,34,111,20,always,false,7324.70703
true,true,1297,disabled,23,5,11,29,13,71,disabled,2143,31919,349,20619508,phycpu,59,7,false,true,13986,28754,76,273,77,default,true,7108.77734
false,false,41326,secondary,7,12,5,9,3,20,always,1096,7724,226,13302105,disabled,5,12,true,false,6257,240603,10,210,30,never,false,7124.03125
false,true,37380,secondary,10,13,10,24,15,58,disabled,671,29234,72,9594781,disabled,11,9,false,true,9287,141911,62,249,39,default,true,7121.82031
true,false,20764,disabled,20,3,8,14,5,31,auto,2017,3380,517,23215672,percpu,49,7,true,false,2708,115912,15,310,67,never,false,7104.21094
