je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,true,16160,primary,17,25,29,always,11347,475,14160650,disabled,true,true,default,true,1.8929058087624588
false,false,26248,secondary,5,7,72,always,36058,319,30585209,phycpu,false,false,always,false,7.5312143116694354
false,true,1514,disabled,8,10,19,auto,46532,105,18092364,phycpu,true,true,never,true,-0.45108589856727493
true,false,41230,primary,21,20,43,disabled,21236,588,2011963,percpu,false,false,always,false,1.1285396335132896
true,true,35009,secondary,23,29,11,auto,38435,222,23718259,disabled,true,false,default,false,-0.6876524865033224
false,false,20291,disabled,10,3,51,disabled,13730,386,6507266,percpu,false,true,never,true,-2.259291943521595
false,true,44973,secondary,3,13,40,disabled,3305,513,10873649,phycpu,true,false,never,false,32.27500778654485
true,false,9881,disabled,15,16,61,auto,28595,37,28264768,disabled,false,true,default,true,-2.0466186928986705
true,true,48207,disabled,6,22,1,auto,42463,618,27068390,disabled,false,false,never,false,20.66382079267027
false,false,6648,secondary,17,10,59,disabled,17954,135,9938326,phycpu,true,true,always,true,4.000084354235882
false,true,31968,primary,19,6,31,always,2596,249,5309861,percpu,false,false,default,false,0.6398268791528245
true,false,23333,secondary,8,24,69,always,28082,404,22783956,percpu,true,true,always,true,5.97434820130814
true,true,4553,secondary,12,18,22,always,7759,46,2948510,disabled,false,true,always,true,0.4345719346968443
false,false,38193,primary,23,14,78,always,32274,522,19292141,percpu,true,false,default,false,0.5707358933762454
false,true,12925,primary,13,3,13,auto,47583,336,31522784,phycpu,false,true,always,true,3.6241402356727583
true,false,29485,disabled,2,28,48,disabled,22091,173,15359407,disabled,true,false,never,false,47.44783014950166
true,true,8267,secondary,20,15,73,auto,15744,366,15827537,disabled,false,false,always,true,0.15257410195182813
false,false,49718,disabled,9,19,27,disabled,41035,202,33234976,percpu,true,true,never,false,-0.30863106052740913
false,true,24835,secondary,5,27,43,always,25921,17,20807699,phycpu,false,false,always,true,10.285151383409469
true,false,33583,disabled,16,1,17,always,1217,493,3613282,disabled,true,true,default,false,0.011313200789036831
true,true,39810,disabled,14,11,55,disabled,34044,299,21002284,disabled,false,true,default,false,-0.2146328644102991
false,false,6065,primary,4,22,6,auto,8748,455,4905563,phycpu,true,false,never,true,0.8893969969892024
false,true,30987,primary,10,24,64,auto,23910,568,9206378,phycpu,false,true,never,false,0.15863625155730865
true,false,14540,secondary,21,5,36,disabled,48620,85,25614361,percpu,true,false,always,true,1.4402269128945187
true,true,27779,primary,7,4,56,disabled,35142,542,28612288,percpu,true,true,always,false,6.422895361814785
true,false,1557,disabled,10,7,54,auto,16127,18,28264768,percpu,false,false,default,true,-2.9709318547549826
true,false,40731,disabled,9,4,70,disabled,12788,3,32812160,phycpu,true,true,default,true,-0.6974570442275746
false,false,417,disabled,10,2,12,disabled,23553,15,11464234,percpu,true,false,default,true,-2.5130165074750828
true,false,885,disabled,10,11,51,disabled,13303,18,24024076,percpu,true,true,never,false,-3.378137328696013
true,false,1225,disabled,10,6,19,auto,13396,18,16267941,disabled,false,true,always,false,-1.3745036077657804
false,false,910,disabled,16,26,32,always,5588,16,2135998,percpu,false,true,never,true,0.7068203644102995
true,false,359,disabled,10,6,58,disabled,22779,2,28264768,percpu,false,false,never,true,-3.8405137172965116
true,true,14,disabled,9,26,1,always,513,1,29329796,percpu,true,false,never,true,-1.430636485153654
true,false,359,disabled,10,8,53,disabled,18820,16,24310179,percpu,false,false,never,false,-3.7612450685215935
false,false,299,disabled,8,1,59,disabled,16127,2,24218153,phycpu,false,false,default,true,-2.3834338013911953
true,true,406,primary,12,5,61,disabled,25994,58,26122034,phycpu,true,true,default,true,-2.436327151681893
true,true,209,primary,8,8,48,auto,24643,1,26699494,disabled,false,false,never,true,-3.411640560112126
false,false,30275,secondary,12,28,38,auto,46436,115,8362828,phycpu,false,false,default,false,-1.710890456291528
true,false,592,primary,11,6,58,auto,16339,548,30261578,percpu,false,false,never,false,-3.7282349849460124
true,false,359,disabled,12,6,58,disabled,21020,25,28264768,disabled,false,false,always,false,-2.082076671511628
false,false,869,disabled,3,8,58,always,22779,13,27264607,percpu,false,false,never,true,1.8496255969684385
false,false,116,disabled,10,8,58,disabled,22779,10,27102893,percpu,true,true,never,false,-2.1711725887666113
false,false,631,disabled,11,6,38,auto,21020,2,28264768,percpu,false,false,never,true,-2.194879373442691
true,true,359,disabled,10,4,56,disabled,22779,2,28018150,percpu,false,true,never,true,-2.7454546044435215
true,false,407,primary,10,9,58,auto,22779,5,24563413,percpu,false,false,never,true,-3.763905471345515
true,false,352,primary,8,7,61,auto,23789,9,21260777,disabled,false,false,never,true,-3.972495652512459
true,true,16100,disabled,8,5,62,disabled,13335,214,14768181,percpu,false,false,never,true,-0.5065277200996672
true,false,707,secondary,1,13,65,auto,20778,2,25856707,disabled,false,false,never,true,0.3996168371054822
true,false,443,disabled,6,4,58,auto,13840,1,28264768,disabled,false,false,never,true,-3.5612541528239205
true,true,342,secondary,10,4,74,auto,23444,2,21869935,disabled,false,false,never,true,-2.8307854028239205
