je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,true,17270,disabled,3,13,2,auto,20132,385,5687628,phycpu,false,true,always,false,42.45191808554817
false,false,43466,secondary,18,29,77,disabled,42791,214,23510693,percpu,true,false,default,true,-6.957036116590551
false,true,966,disabled,22,23,39,always,32082,7,31578455,disabled,false,true,always,false,37.803907223318106
true,false,25406,secondary,8,5,45,always,4736,517,13741752,phycpu,true,false,never,true,9.273505632267424
true,true,49779,secondary,10,9,27,always,25244,276,28857626,phycpu,false,false,never,true,17.27969917981727
false,false,23485,primary,20,26,51,always,11965,407,8921845,disabled,true,true,default,false,11.061327151681885
false,true,31694,primary,14,19,15,auto,12907,614,1000711,percpu,false,false,default,true,-4.834852250311464
true,false,7157,disabled,7,1,68,disabled,49625,143,20919018,percpu,true,true,never,false,-5.524793656561465
true,true,34538,primary,16,7,23,always,29252,525,18348058,phycpu,true,false,always,true,34.53527304817275
false,false,10588,secondary,2,21,57,auto,8158,74,2592757,disabled,false,true,never,false,-2.1261306712001704
false,true,46154,disabled,9,27,21,auto,16907,187,10545159,disabled,true,false,always,true,36.886214246781556
true,false,20835,primary,24,14,64,disabled,45816,338,26255338,phycpu,false,true,default,false,-3.3838344840116212
true,true,4373,primary,20,3,6,auto,22572,96,16344140,phycpu,true,true,default,false,-0.9487012692068199
false,false,28225,disabled,12,17,71,disabled,40541,586,29954981,disabled,false,false,always,true,18.408256657495848
false,true,14645,secondary,4,24,33,disabled,34525,474,21918807,percpu,true,true,never,false,6.756534208887034
true,false,39865,primary,14,11,50,always,2495,283,8258488,percpu,false,false,default,true,9.884017792254985
true,true,11754,primary,7,16,79,disabled,6364,429,6992944,phycpu,true,false,never,false,0.4742216699543068
false,false,36486,disabled,23,4,5,always,30582,258,22725599,disabled,false,true,always,true,18.46649514638703
false,true,18890,secondary,17,11,41,auto,44484,121,31302701,percpu,true,false,default,false,-0.5173169513081392
true,false,44988,primary,4,23,38,disabled,18702,631,15586244,percpu,false,true,always,true,43.64128523411544
true,true,30198,disabled,6,20,54,auto,38821,232,25438306,percpu,true,true,always,true,61.821276084925245
false,false,5564,secondary,15,7,29,disabled,23974,363,11820943,percpu,false,false,default,false,-6.879800080460974
false,true,38676,disabled,19,15,67,always,1090,500,3356797,disabled,true,true,default,true,13.331432659364612
true,false,12675,secondary,11,27,11,auto,36247,29,16994194,phycpu,false,false,never,false,-4.833911376142023
true,true,41520,secondary,23,25,60,auto,41068,569,19629410,phycpu,false,true,default,true,9.227753192483377
false,true,1712,secondary,14,8,29,disabled,45394,29,17672148,disabled,false,false,default,false,-0.42159435994602124
true,false,40177,disabled,18,29,77,auto,42791,98,23510693,percpu,true,false,never,true,-4.315874169435231
false,false,1507,secondary,16,6,19,disabled,41988,8,14389278,percpu,false,false,default,false,-6.307714519310625
false,false,6482,disabled,12,7,36,auto,14665,286,369942,percpu,true,true,default,false,-9.501331823608828
false,false,14018,secondary,2,8,28,disabled,34808,468,196879,percpu,true,true,never,false,-9.806883954526567
false,false,13102,secondary,14,5,41,disabled,6086,457,86795,percpu,false,false,default,true,-10.676645880917789
true,false,38768,secondary,13,5,41,disabled,23332,377,37170,percpu,false,false,default,true,1.74288666683969
true,false,9040,primary,2,6,5,disabled,1577,403,50316,percpu,false,true,default,true,7.83269959509966
false,false,11841,disabled,17,5,41,auto,1463,18,144334,phycpu,false,false,never,true,-10.376711417670254
false,false,13102,disabled,11,6,36,auto,6086,461,86795,percpu,false,false,default,true,-10.460582238891206
false,false,4643,secondary,9,2,33,disabled,4735,461,86795,phycpu,true,false,default,true,-10.925387056166969
true,false,44889,primary,8,28,13,disabled,13574,469,26737149,disabled,false,true,default,false,1.090296342919423
false,false,13102,secondary,9,1,16,disabled,1453,461,86795,percpu,false,true,default,true,-10.636094204215134
true,true,1137,secondary,14,2,41,disabled,1461,457,86795,percpu,true,false,default,true,-1.4320688849667802
false,true,41801,secondary,5,2,39,disabled,4926,373,31768,phycpu,false,true,never,true,-5.460317820805647
false,false,13102,disabled,10,1,39,disabled,87,414,86795,phycpu,true,false,default,false,-10.871281924833873
false,false,1689,primary,8,2,77,disabled,3946,530,53363,percpu,true,false,default,false,-10.800202125726742
false,false,714,primary,12,2,58,disabled,324,451,124606,phycpu,true,false,default,true,-10.905959626764925
false,false,714,primary,10,1,41,auto,1445,398,437707,phycpu,true,true,never,true,-10.152669811565634
false,false,4993,primary,4,2,36,disabled,384,461,73808,phycpu,true,true,default,true,-10.658529186565632
false,false,575,primary,8,2,68,disabled,760,470,113510,phycpu,true,false,always,false,33.884841868251655
false,true,607,secondary,13,1,25,disabled,109,441,84188,percpu,true,false,never,true,-6.072809060942693
false,false,1506,disabled,11,2,51,auto,15,446,93612,phycpu,true,false,default,true,-11.032977639638712
false,true,1421,primary,11,2,53,always,15,417,93612,phycpu,true,false,default,false,10.52762114566033
true,false,1841,disabled,9,25,53,disabled,36618,506,97145,phycpu,true,false,default,true,-2.979226147217592
