je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,true,11055,secondary,13,15,11,13,15,23,always,1569,32044,136,6224100,percpu,8,3,false,false,13016,58929,43,392,19,default,false,7494.33203
true,false,47261,primary,1,6,3,23,6,44,auto,856,21243,353,23739027,disabled,61,12,true,true,656,154582,21,164,51,never,true,8570.34375
true,true,21804,secondary,10,1,15,21,3,80,auto,152,44877,240,29883026,phycpu,40,7,true,false,8307,250345,70,280,28,never,false,7953.96484
false,false,32570,disabled,23,11,6,3,12,17,disabled,2214,8801,578,15939813,disabled,29,16,false,true,4133,93244,10,203,64,always,true,7824.48438
false,true,40587,disabled,21,13,13,16,3,54,always,1973,40391,449,9305098,disabled,18,14,true,false,15853,37446,80,215,76,never,false,7518.26953
true,false,1305,secondary,9,7,8,5,9,33,disabled,436,1190,29,28917375,phycpu,43,5,false,true,3515,191423,19,306,34,always,true,7470.94141
true,true,29875,disabled,5,4,10,10,13,7,always,950,27948,544,18153088,percpu,49,10,false,false,12104,210380,52,101,50,default,false,8162.83203
false,false,15935,primary,17,9,3,29,8,70,auto,1437,14023,244,2112521,phycpu,12,1,true,true,7952,117851,32,342,3,always,true,7562.39062
false,true,26302,secondary,3,12,12,19,4,14,auto,1771,4806,482,33079569,disabled,34,15,true,false,14723,180501,60,234,40,default,true,7526.96094
true,false,15584,disabled,14,3,8,8,10,72,disabled,608,40680,301,13370216,phycpu,27,8,false,true,2517,25331,39,321,72,always,false,8116.47656
true,true,40932,primary,23,5,9,9,13,46,disabled,109,17437,428,6407014,percpu,2,11,false,false,11050,128766,72,123,7,never,true,8019.60938
false,false,4872,disabled,12,15,4,28,7,30,always,2321,28439,46,22348050,phycpu,59,4,true,true,7038,222503,12,359,43,default,false,7861.8125
false,true,22265,primary,8,9,12,15,15,62,disabled,1894,22315,177,19645949,percpu,55,2,false,false,14006,157825,62,376,57,never,true,7481.31641
true,false,36058,primary,19,3,2,26,6,4,always,507,36442,636,2033546,disabled,14,9,true,true,1762,63365,2,143,15,always,false,8185.71484
true,true,7573,disabled,15,8,16,20,1,40,auto,1188,10074,113,11716491,phycpu,24,6,true,false,9245,90009,50,262,68,default,true,7561.15234
false,false,46807,secondary,5,14,5,3,10,56,always,1226,49074,371,25560572,disabled,45,13,false,true,5195,245902,29,180,21,always,false,7606.58984
false,true,12646,disabled,21,3,2,19,10,35,always,2090,14521,475,13783593,percpu,37,11,true,false,2715,204477,26,153,54,default,false,7628.48828
true,false,26880,primary,10,9,11,2,4,51,auto,328,25498,14,31887454,disabled,32,5,false,true,15053,108828,47,366,16,always,true,7994.51562
true,true,4681,disabled,2,13,6,14,7,67,always,992,2256,540,21712991,phycpu,6,14,false,false,6192,43305,4,191,62,never,false,7698.71484
false,false,43476,secondary,13,8,14,25,13,9,disabled,1404,38155,278,8360488,disabled,63,8,true,true,10344,200402,64,254,31,always,true,7547.86328
false,true,35856,secondary,18,2,7,9,6,41,always,1611,6353,150,87749,disabled,52,6,false,false,1456,256684,14,313,32,never,false,7500.19922
true,false,24796,disabled,7,12,14,27,16,25,disabled,823,45376,329,20288692,phycpu,9,12,true,true,13816,102703,74,245,78,default,true,7939.83594
