je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
false,true,11980,secondary,14,29,65,always,30092,467,20467654,disabled,true,false,never,false,1050.28125
true,false,44926,disabled,5,14,40,disabled,4064,198,1629665,phycpu,false,true,always,true,1074.00391
true,true,13245,secondary,10,6,55,disabled,18505,104,12673742,percpu,true,false,default,false,996.46094
false,false,29788,disabled,20,20,10,auto,40700,554,31584491,percpu,false,true,always,true,1065.33203
false,true,40596,disabled,21,25,44,always,23773,265,12223716,disabled,true,true,always,true,1117.90625
true,false,4009,secondary,9,10,20,auto,48319,394,26875591,percpu,false,false,default,false,993.55469
true,true,34641,primary,3,2,74,always,36930,626,21211624,phycpu,true,true,always,true,1161.62109
false,false,20713,primary,16,17,30,disabled,10113,36,6503373,disabled,false,false,never,false,979.80078
false,true,31821,secondary,5,23,48,always,19915,493,6032127,disabled,false,true,default,true,1062.03906
true,false,23778,disabled,13,7,14,auto,45931,123,24942812,phycpu,true,false,never,false,985.65625
true,true,43050,primary,19,12,78,auto,31514,219,27600885,phycpu,false,true,never,true,1009.17578
false,false,1409,primary,11,27,24,disabled,9282,408,8762832,percpu,true,false,default,false,977.49219
false,true,15698,disabled,7,18,69,always,26243,60,31375833,percpu,false,false,always,false,1053.48047
true,false,27187,secondary,23,4,33,disabled,1659,570,16667646,percpu,true,true,never,true,982.37109
true,true,9160,disabled,18,9,58,always,13073,331,2616531,phycpu,false,false,always,false,1054.26953
false,false,47990,secondary,1,23,4,auto,39878,281,17268470,disabled,true,true,default,true,1353.25391
false,true,22611,primary,21,3,36,always,43775,369,18578941,disabled,false,true,never,false,1045.51953
true,false,32928,primary,10,18,61,auto,21677,258,3928026,percpu,true,false,default,true,985.07031
true,true,2589,disabled,4,24,6,always,7138,3,14831863,phycpu,false,true,default,false,1067.51562
false,false,41810,secondary,15,9,51,disabled,33264,611,29541074,disabled,true,false,never,true,980.83203
false,true,25250,secondary,16,7,16,auto,691,161,10073819,disabled,false,false,never,true,998.62891
true,false,17598,disabled,3,21,41,disabled,27605,451,28910848,phycpu,true,true,always,false,1222.16797
true,true,49963,primary,8,28,26,always,38897,529,23108561,percpu,false,false,default,true,1047.99219
false,false,7150,primary,22,13,70,auto,14448,101,4196852,percpu,true,true,always,false,1109.96875
false,true,46191,disabled,12,12,13,auto,6205,593,8337608,disabled,true,false,always,true,1111.39844
false,false,20713,secondary,17,17,24,auto,6478,12,3026217,disabled,true,false,never,true,978.34375
false,false,9176,primary,16,27,26,disabled,8577,634,8585121,percpu,true,false,never,false,978.39844
false,false,1928,disabled,3,18,21,disabled,9282,375,8762832,disabled,true,false,never,true,980.95312
false,false,1041,disabled,15,30,24,disabled,9282,377,5126691,percpu,false,false,default,false,980.92578
false,false,1435,primary,5,29,26,disabled,9282,408,5956609,phycpu,true,false,never,true,981.04297
true,true,10983,primary,3,13,47,auto,27500,190,25268957,phycpu,true,true,default,false,1078.69531
false,false,303,primary,11,23,19,disabled,5530,408,8762832,percpu,true,true,default,false,996.40625
false,false,2258,secondary,17,16,23,disabled,410,634,8585121,percpu,true,false,never,false,975.78906
false,false,45470,disabled,24,8,22,disabled,643,503,4296228,disabled,false,false,default,true,981.21094
false,false,2258,disabled,8,11,21,disabled,410,620,8585121,percpu,true,false,never,false,976.37109
false,false,2258,disabled,17,8,23,disabled,410,621,8585121,percpu,true,false,default,false,977.62891
true,false,1549,secondary,17,19,23,disabled,410,634,7816018,percpu,false,false,never,false,975.65625
false,false,1060,secondary,5,24,31,disabled,291,563,24234324,disabled,false,false,never,false,977.98047
false,false,46926,disabled,22,8,17,disabled,15189,233,31978769,percpu,false,true,never,false,986.52734
true,true,21895,primary,14,6,21,auto,33967,500,11172058,percpu,false,false,never,false,1001.88281
true,true,13899,disabled,5,27,68,always,5941,494,27687436,percpu,false,false,never,true,1046.02344
true,true,2258,secondary,17,19,24,disabled,4,634,5888524,percpu,true,true,always,true,1143.29688
false,false,923,secondary,22,19,4,disabled,410,634,8585121,percpu,false,false,never,false,977.52734
true,false,23781,secondary,1,11,24,disabled,267,635,7991652,percpu,false,false,never,false,998.93359
false,false,1398,secondary,19,15,14,disabled,100,639,13657861,percpu,false,false,never,false,977.21484
true,false,1791,disabled,18,21,23,disabled,410,634,1656605,percpu,true,false,never,false,979.88672
true,false,1883,secondary,17,19,25,disabled,167,634,6041640,disabled,false,false,never,true,977.27344
true,false,1489,secondary,17,19,16,disabled,25,624,8002784,percpu,true,false,always,false,1079.71875
true,false,1576,secondary,14,18,24,disabled,220,634,7816018,percpu,false,false,default,true,975.76172
true,false,2035,secondary,24,18,24,disabled,167,578,6041640,percpu,true,false,default,true,974.82812
