je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_thp,je_trust_madvise,rss
false,4166,secondary,12,20,35,always,1829,37945,108,31713413,phycpu,true,always,true,34.36603898463456
true,26222,disabled,15,15,51,always,1008,21751,380,15821071,disabled,false,always,false,15.047050197259104
true,19411,secondary,5,2,72,auto,161,7050,482,7610798,percpu,true,never,false,-3.9083264119601275
false,46965,disabled,23,26,14,disabled,1740,26760,314,23502888,percpu,false,default,true,-3.1306420006229323
false,15123,disabled,19,27,21,auto,315,726,410,216827,percpu,true,always,true,40.33304674522419
true,43452,secondary,3,7,45,disabled,1286,34109,78,17944433,percpu,false,always,false,23.926407417981768
true,11591,primary,15,10,63,auto,2284,44903,185,26511316,disabled,true,default,false,-8.73649358907807
false,32872,primary,7,18,3,disabled,854,14256,612,8783450,phycpu,false,never,true,-9.464460911544842
false,22678,primary,2,12,18,auto,564,5188,248,11042583,phycpu,false,default,false,-26.466122041112946
true,45126,primary,20,22,78,disabled,1393,35849,560,29032093,disabled,true,never,true,2.802056296719271
true,423,disabled,9,24,60,auto,2231,49377,342,20952640,disabled,false,always,true,19.084613787375456
false,28366,secondary,13,4,36,disabled,662,15983,135,2963382,phycpu,true,never,false,-13.009064835963471
false,8623,secondary,18,6,9,always,2086,42858,590,21551465,percpu,false,never,false,5.237217088870435
true,37341,disabled,10,28,67,always,1108,23136,218,5920995,percpu,true,default,true,15.818531327865431
true,17590,secondary,22,17,46,auto,119,11951,5,14618690,disabled,false,always,true,16.203777123131236
false,39263,disabled,6,11,30,disabled,1538,28158,472,30249420,phycpu,true,default,false,-11.118423613995024
false,16589,primary,15,25,68,always,16,37214,41,30432186,percpu,false,always,true,17.61194780419435
true,39043,primary,8,2,7,always,1585,3823,433,12769840,percpu,true,always,false,37.70566211586384
true,6792,secondary,19,14,27,disabled,1983,17351,626,4690579,disabled,false,default,false,-4.301128400124581
false,34729,disabled,4,21,50,auto,1154,48008,179,22352665,phycpu,true,never,true,3.885106286337214
false,2498,primary,4,18,77,disabled,2129,24895,383,3210692,phycpu,false,always,true,20.79136926391192
true,31222,primary,24,9,20,auto,710,41099,91,19037262,disabled,true,default,false,-8.502520893895342
true,24021,disabled,12,8,40,disabled,461,29914,289,27735277,disabled,false,never,false,-5.331340194144515
false,45687,secondary,16,27,55,always,1440,10195,516,11908455,phycpu,true,default,true,12.267899319975093
false,10492,disabled,21,3,42,disabled,2387,19994,221,10210344,percpu,true,never,false,-12.294406016403672
false,46366,primary,18,26,36,disabled,2361,48582,323,25617192,percpu,false,default,true,-4.166573660714273
true,34140,disabled,1,16,74,always,1253,337,553,582990,phycpu,false,never,false,24.758905860672762
false,20037,secondary,2,12,18,auto,564,3059,158,7580387,disabled,false,default,true,-3.8946091154485076
true,6817,secondary,2,12,18,disabled,408,2010,180,11042583,phycpu,true,default,false,-1.9855235153654471
false,22678,primary,2,1,20,auto,448,5188,132,11042583,phycpu,false,default,false,-7.585924522425255
false,28273,disabled,1,9,7,auto,676,670,280,18091309,phycpu,false,default,false,-4.715528317068104
false,20567,disabled,2,15,18,auto,564,1113,248,11042583,phycpu,false,never,true,-4.346390936461806
false,22418,primary,1,16,8,auto,393,37357,246,11168344,phycpu,true,never,true,9.783112281976738
true,11583,primary,23,14,10,disabled,1002,34386,262,12284748,phycpu,true,never,false,-4.121401967400342
false,20112,primary,6,13,10,disabled,564,1058,207,9785868,percpu,false,default,false,-11.130930751661152
false,43873,primary,1,10,15,auto,1751,6646,246,5459055,percpu,true,default,false,-4.472331810631238
true,24870,primary,13,9,36,auto,588,10811,252,29003529,phycpu,false,default,false,-3.9078754412375294
false,18044,secondary,2,14,22,auto,564,895,248,2729053,phycpu,true,default,false,-2.104754983388705
