je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,true,8864,secondary,23,16,47,auto,19649,559,19321336,phycpu,false,true,never,false,42.786067924626266
false,false,47935,disabled,1,10,34,always,27197,141,11420046,disabled,true,false,always,true,-171.4926968698089
false,true,21330,secondary,10,7,70,disabled,37928,309,5682178,disabled,false,true,default,false,-174.49864384343846
true,false,35395,primary,15,29,12,auto,8902,392,31335540,percpu,true,false,always,true,-132.1269563693937
true,true,37708,primary,18,22,74,disabled,44438,5,3094835,phycpu,false,false,always,true,-150.07759616382882
false,false,4905,primary,8,14,6,auto,2368,577,27765061,disabled,true,true,default,false,29.954280004152796
false,true,25247,disabled,4,3,53,always,13512,414,23026889,percpu,false,false,always,true,-131.69715044902418
true,false,17440,secondary,20,23,29,always,33309,166,14142655,phycpu,true,true,never,false,50.40880982661966
true,true,29396,primary,3,28,77,disabled,49659,341,15201394,phycpu,true,false,default,true,-177.01442457433532
false,false,15342,disabled,22,5,4,auto,3495,280,24077320,percpu,false,true,always,false,-140.9382494549418
false,true,41961,secondary,13,11,59,always,17366,113,26710412,disabled,true,false,never,true,-197.6349651552116
true,false,2898,disabled,12,18,21,disabled,35803,509,2032126,percpu,false,true,default,false,36.85313440874167
true,true,24011,disabled,10,25,45,always,23705,218,32382139,percpu,true,true,always,false,69.82500713766615
false,false,31835,secondary,17,4,36,always,29488,444,6720717,disabled,false,false,never,true,-183.55188596605063
false,true,11454,primary,18,12,62,disabled,43742,606,10385729,percpu,true,true,never,false,24.046042813019046
true,false,44270,secondary,6,21,18,auto,9436,55,18278711,phycpu,false,false,default,true,-173.06794571480475
true,true,14020,disabled,15,4,32,disabled,5733,600,17163715,phycpu,true,false,always,false,-144.74191983752075
false,false,31206,secondary,10,26,48,auto,47460,22,9270709,disabled,false,true,default,true,31.48782379049008
false,true,1486,primary,2,19,16,always,36708,189,7700537,percpu,true,false,default,false,-160.88512250830564
true,false,43667,primary,23,13,66,always,16471,432,33361999,phycpu,false,true,never,true,63.96822765261639
true,true,33541,secondary,21,6,10,always,30131,123,789768,phycpu,true,true,never,true,-265.1262247586172
false,false,22598,primary,5,27,71,disabled,23023,537,25468286,disabled,false,false,always,false,-148.36552312603808
false,true,46081,secondary,7,18,28,disabled,11900,375,24930546,disabled,true,true,default,true,26.741410467711887
true,false,10132,disabled,17,11,54,auto,41268,286,16054404,percpu,false,false,never,false,-175.5946324750832
true,true,49250,primary,12,15,3,always,26466,461,12894283,percpu,false,true,always,true,60.26830162479246
false,true,44521,disabled,24,1,56,always,47081,76,843513,phycpu,true,false,default,false,-200.96981740552317
false,true,32877,disabled,18,6,69,always,259,117,1224646,phycpu,false,true,never,false,-170.74716602211367
true,true,44521,primary,24,5,47,always,44726,76,54479,phycpu,false,false,default,true,-270.69294571480475
false,false,30368,primary,24,11,11,always,27921,61,789768,percpu,false,true,always,true,53.57807471189798
false,true,15794,disabled,18,22,45,always,42394,237,12055230,phycpu,false,true,never,false,38.31912505191037
false,false,30020,secondary,12,7,10,auto,30131,24,239256,disabled,true,false,never,false,-170.75369374221324
true,false,3287,disabled,24,8,40,auto,42863,58,33070,phycpu,false,false,always,false,-181.59454487645337
true,true,42688,primary,24,5,46,disabled,44726,5,631619,disabled,true,true,default,true,-168.93089765884557
false,true,23700,primary,8,18,2,always,34669,623,29866664,disabled,false,true,never,true,36.071761121781606
false,false,42688,primary,21,5,26,always,44726,36,53334,phycpu,true,false,default,true,-161.05531529017867
true,true,45608,primary,20,1,20,always,47654,166,11863,phycpu,false,false,never,true,-263.3916340064369
true,false,9340,primary,9,18,12,disabled,47041,188,148834,disabled,false,true,never,true,40.15895906872929
true,false,45608,primary,24,5,10,always,45420,166,11863,disabled,true,false,default,true,-280.31190303156137
true,false,37848,primary,23,1,14,always,43537,64,62540,disabled,true,false,never,true,-273.0033109037581
false,true,37848,primary,23,4,6,disabled,40697,64,12489,disabled,true,false,default,false,-192.55587981468025
true,true,45608,disabled,24,9,10,auto,45420,98,11863,percpu,true,true,always,true,59.58040094217201
true,true,45608,primary,23,2,5,disabled,43517,106,26951,phycpu,true,true,default,true,-276.67847896335144
true,true,45608,primary,24,2,10,always,42225,166,11863,disabled,true,false,default,true,-274.98681153965936
true,false,45608,secondary,24,3,10,always,45420,138,11863,percpu,true,true,always,false,-242.9802903083473
true,false,45608,primary,23,1,7,always,45077,147,11863,phycpu,false,false,default,true,-277.5158991512667
true,false,43988,primary,24,5,7,always,45420,82,11863,disabled,false,false,default,true,-281.8652554635588
false,true,28033,primary,14,2,47,disabled,42426,486,26645804,percpu,false,true,always,true,-145.58281314887864
true,false,23020,primary,24,3,7,auto,45420,24,11863,disabled,false,false,never,true,-280.7870315095515
true,false,40715,primary,24,3,6,auto,45420,166,6861,disabled,true,true,default,true,-281.39365364150757
true,false,32370,primary,24,6,3,always,45052,166,11863,disabled,false,true,default,true,-271.0242907755398
