je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_thp,je_trust_madvise,rss
true,false,32748,disabled,5,29,72,auto,26,34010,205,23166436,percpu,false,never,false,129.32677857661923
false,true,5264,secondary,13,4,26,disabled,1316,2857,470,11673419,phycpu,true,always,true,-265.06955006748325
false,false,49743,primary,22,14,54,always,2037,15410,600,7710622,disabled,false,default,false,9.501239358388638
true,true,13269,primary,8,16,10,always,824,46563,7,27706673,phycpu,true,always,true,-157.5171725757892
true,false,7663,primary,11,26,50,always,2211,7212,529,29509878,disabled,true,never,true,109.28917605377876
false,true,30153,primary,20,7,13,always,949,25865,156,1124954,phycpu,false,default,false,12.590937110672707
false,false,24653,secondary,17,8,66,auto,454,38312,275,14062224,disabled,true,default,true,-10.155386991279126
true,true,38164,disabled,3,20,32,disabled,1788,19659,322,17166369,percpu,false,never,false,114.82487736191851
true,false,19584,primary,14,19,45,disabled,2280,49996,385,22541693,phycpu,true,default,true,109.74103249584695
false,true,42403,primary,6,14,19,auto,1180,18648,291,8689618,disabled,false,always,false,-306.28171070390346
false,false,11962,disabled,9,2,61,auto,382,6101,100,4402951,percpu,true,never,true,-19.85122183866284
true,true,25024,secondary,23,28,37,disabled,1560,37450,506,26234280,percpu,false,always,false,-150.20440329111312
true,false,44692,secondary,19,21,77,auto,248,22891,70,32817261,phycpu,false,default,false,147.99158404277398
false,true,17490,disabled,10,11,21,disabled,1395,41739,616,2597572,percpu,true,never,true,-6.601724719684449
false,false,37079,secondary,2,6,59,always,1818,29286,415,14686743,phycpu,false,always,false,-295.42827294435176
true,true,103,disabled,16,23,5,always,743,10438,181,20150458,disabled,true,default,true,93.21846773774917
true,false,41519,secondary,7,10,28,always,1083,26568,170,31431488,percpu,true,always,false,-134.09105390884568
false,true,20663,disabled,21,22,75,always,2376,7915,436,850415,disabled,false,default,true,22.671420784883654
false,false,27653,primary,13,24,8,auto,1576,20461,634,13320506,phycpu,true,always,false,-290.8417482090944
true,true,9528,primary,4,5,51,disabled,365,39113,42,18359189,disabled,false,never,true,41.07485789555639
true,false,16409,primary,3,15,11,auto,1453,542,484,24948306,phycpu,false,never,true,56.68486555232559
false,true,45578,primary,18,18,48,disabled,189,31695,111,11521279,disabled,true,always,false,-274.87716401058947
false,false,2540,disabled,21,27,35,disabled,614,44151,320,6845484,phycpu,false,default,true,-5.564479080149562
true,true,34447,secondary,12,2,69,auto,1946,12998,366,29038212,percpu,true,always,false,-150.5562740085133
true,false,4587,secondary,24,8,16,auto,1220,42553,350,32052185,disabled,false,always,true,-185.28163608284893
true,false,11221,secondary,15,16,55,auto,715,28212,18,16588156,phycpu,false,default,true,91.2303876401578
false,false,7801,primary,1,11,8,auto,1957,5829,44,24092314,percpu,false,always,true,-296.8955013237121
false,false,40107,primary,2,14,7,auto,1180,2370,258,8689618,percpu,false,always,false,-276.9177448868356
false,false,47193,secondary,1,8,16,auto,1867,20934,328,9334477,phycpu,true,always,true,-273.0293844736296
true,true,27653,secondary,7,24,3,always,1576,13895,585,6267041,disabled,false,always,true,-155.19703202865455
false,false,42351,primary,13,5,76,auto,1361,16674,20,286058,disabled,false,always,true,-287.3463487593438
false,true,23129,primary,2,16,3,auto,930,39169,394,14999136,percpu,false,always,false,-283.39209146594675
false,true,26404,disabled,10,30,22,always,1021,5045,175,6105524,percpu,false,never,false,27.77938447362943
false,true,42403,primary,1,14,8,always,1101,18648,122,8689618,disabled,false,always,false,-273.9515514690613
false,true,42403,secondary,3,4,19,auto,1180,10096,274,2447659,disabled,true,always,true,-252.13003205460967
false,false,44942,disabled,10,17,39,always,1378,37544,572,2552868,disabled,false,always,true,-280.4955649138287
false,true,42403,disabled,12,17,21,auto,1180,16143,291,1970144,disabled,false,always,true,-285.4863735465113
false,true,39316,disabled,1,16,8,auto,1373,6623,582,13806861,percpu,false,always,false,-291.5358018843434
false,true,26928,primary,8,13,8,auto,1166,20461,496,13320506,phycpu,false,always,false,-300.89112463662775
false,true,37131,primary,4,4,20,auto,1180,16770,291,8689618,disabled,false,always,false,-291.397168942068
false,true,42403,secondary,7,12,17,auto,952,18648,291,149299,disabled,false,always,false,-297.1418708471758
false,true,36078,primary,5,13,20,auto,1483,12340,435,23714621,disabled,false,always,false,-290.52659753945176
false,true,29110,primary,19,5,18,always,1802,20940,94,13333864,percpu,false,always,false,-294.0218315251241
false,false,40297,secondary,6,14,19,auto,1121,18648,291,6041705,phycpu,false,always,true,-298.52899190199304
false,true,42403,primary,6,13,19,auto,596,18648,291,3550858,disabled,false,always,false,-280.93308762458435
false,false,42403,disabled,6,14,19,auto,1180,9278,291,8689618,disabled,false,always,false,-292.21888302014094
false,true,13361,primary,6,14,8,auto,1178,20461,414,13320506,disabled,false,always,false,-303.8133078540279
false,true,39968,primary,6,16,13,auto,1180,18648,170,8689618,disabled,false,always,false,-276.42049613268273
false,false,42403,primary,9,14,7,auto,1180,18648,291,5955994,percpu,false,always,false,-281.31848915074744
false,false,38332,primary,2,4,24,always,166,42658,269,33089155,disabled,false,default,true,13.794973785299012
