je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
true,40277,primary,21,7,9,16,11,64,disabled,261,5499,67,3765698,percpu,7,8,false,9118,208994,35,172,60,default,false,96.04274488683545
false,15588,primary,4,16,8,15,2,32,auto,1960,32834,621,24362588,phycpu,44,15,true,3116,24394,56,307,29,always,true,-176.64066717711782
false,28206,disabled,13,9,4,23,5,11,auto,1459,49159,190,10114068,phycpu,28,10,false,4677,152589,6,396,72,always,false,-181.67529134655305
true,3427,secondary,12,2,13,8,14,58,always,762,15531,423,30449546,disabled,54,2,true,15857,90409,64,233,2,never,true,150.00153135382058
true,32763,primary,9,3,11,28,8,19,auto,1509,19682,289,18682423,disabled,59,3,true,8025,257396,23,111,70,never,true,134.00016221968434
false,7489,primary,16,12,6,2,13,46,disabled,997,40810,364,5757357,percpu,24,11,false,12525,73952,47,255,18,default,false,106.35108232973421
false,48805,secondary,1,12,2,22,10,73,disabled,308,25658,88,29242341,phycpu,40,12,true,11908,199077,17,335,42,always,true,-180.56858972695167
true,23441,disabled,24,6,15,10,4,21,always,2198,10824,480,16054399,percpu,12,6,false,310,138021,73,181,31,default,false,145.57578903654502
true,27113,secondary,18,14,13,26,7,13,always,2399,316,333,26305447,percpu,64,9,true,7015,160740,30,283,47,never,false,64.78622041112958
false,2188,disabled,7,8,4,4,13,41,auto,501,35481,256,14395453,disabled,19,1,false,13523,99561,41,121,36,default,true,111.22468075166115
false,41515,secondary,21,1,8,20,9,79,auto,1199,44927,534,20071029,disabled,35,8,true,10942,219053,11,210,65,always,false,-265.73331408326425
true,16682,primary,3,10,9,11,3,27,disabled,1701,16054,139,7899631,phycpu,17,14,false,1288,35492,79,345,13,default,true,-3.2078261264535466
true,44406,disabled,7,11,15,18,11,70,always,644,23718,595,11863122,phycpu,4,13,false,10144,175690,38,297,76,default,true,160.70333912998345
false,19284,secondary,19,5,2,13,2,37,always,1333,40091,39,33542092,percpu,47,6,true,2070,113385,52,143,7,never,false,149.1634622871678
false,36919,disabled,10,5,6,25,6,5,disabled,1843,31037,472,1451396,disabled,31,4,false,5755,232093,3,224,55,always,true,-246.8203806322675
true,11889,primary,15,14,12,6,16,52,auto,134,8372,236,22867482,percpu,51,12,true,14799,47377,68,367,24,never,false,64.14836287894525
true,35118,disabled,2,2,3,14,6,44,disabled,60,21802,515,17534183,disabled,5,10,true,4432,207523,45,331,22,never,true,144.63097617317274
false,9797,secondary,23,9,16,17,15,12,auto,1922,42887,119,4278141,percpu,42,3,false,16102,23948,26,185,52,default,false,123.9620276162791
false,46401,primary,8,15,12,7,12,30,always,1261,26606,393,27831605,phycpu,26,8,true,8331,141520,76,105,9,never,true,132.60138405834695
true,21183,secondary,16,7,6,24,3,77,disabled,720,11728,316,14837423,disabled,53,16,false,3903,80356,15,261,80,always,false,-184.4056303208055
true,42632,secondary,14,6,5,1,9,39,auto,1773,4551,412,3140370,percpu,57,13,false,11671,251303,53,383,12,default,false,132.56166943521583
false,17895,disabled,12,13,14,29,3,66,disabled,1123,31929,177,23404684,phycpu,22,5,true,547,66602,37,246,62,never,true,130.34513535610478
