je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_tcache,je_thp,je_trust_madvise,rss
true,true,23772,primary,15,15,22,auto,45947,389,21061835,phycpu,false,false,default,false,178.66554194352165
false,false,44890,disabled,3,17,49,disabled,15568,164,11517750,disabled,true,true,never,true,24.166761835548208
false,true,1291,secondary,9,24,9,disabled,5352,69,6960995,percpu,false,false,never,false,89.84897185164041
true,false,30271,disabled,21,8,61,auto,37486,484,25487520,percpu,true,true,default,true,214.36728158741704
true,true,43625,primary,23,11,18,disabled,9276,264,1121165,percpu,false,true,default,true,230.8547030730897
false,false,13131,secondary,12,20,75,auto,27335,448,33539184,disabled,true,false,always,false,-60.16264307776162
false,true,31341,disabled,6,28,34,always,43584,583,20597797,disabled,false,true,never,true,114.56247242265367
true,false,11736,secondary,17,4,56,always,24155,130,13931482,phycpu,true,false,always,false,2.241222292877943
true,true,35194,secondary,2,6,14,disabled,12457,541,15778100,phycpu,true,true,always,true,7.6125123286960665
false,false,7874,primary,13,26,76,auto,30324,7,18751177,disabled,false,false,default,false,89.6350868199751
false,true,39668,secondary,19,19,37,always,40540,222,31168158,percpu,true,true,default,true,106.69319877751255
true,false,17085,disabled,8,13,54,always,20918,326,3492193,phycpu,false,false,never,false,223.88709996625835
true,true,3682,disabled,10,3,29,auto,49127,106,27310706,percpu,true,false,never,false,234.4048841102575
false,false,27877,primary,22,29,41,always,18556,601,5137807,percpu,false,true,always,true,-87.91919675301075
false,true,21472,disabled,16,23,3,disabled,2306,427,9170396,disabled,true,false,default,false,81.92421258565201
true,false,47180,secondary,4,10,70,auto,34248,281,23409191,phycpu,false,true,always,true,5.88193326931065
true,true,6356,disabled,20,29,47,disabled,28764,479,24190733,percpu,true,true,default,false,215.6648687318314
false,false,36899,secondary,9,1,25,auto,10900,255,10469618,disabled,false,false,never,true,7.687157716465975
false,true,18682,primary,3,9,63,auto,19358,160,5916837,disabled,true,true,never,false,20.209102795369642
true,false,38238,secondary,15,21,6,always,38983,574,28612440,phycpu,false,false,always,true,10.604188836690227
true,true,26250,secondary,18,25,72,always,16996,194,2188363,phycpu,true,false,always,true,62.82751992057726
false,false,5082,primary,6,5,20,always,47570,380,30391224,disabled,false,true,never,false,88.66659637147012
false,true,48692,primary,11,13,59,disabled,32688,515,17445859,percpu,true,false,always,true,-135.46893330824332
true,false,19761,disabled,23,18,32,auto,749,60,15002654,phycpu,false,true,default,false,209.25807854028236
true,true,46298,disabled,7,20,78,always,14003,632,12631796,percpu,false,false,never,true,266.33210911544853
false,true,49763,disabled,18,3,13,auto,36188,525,719188,percpu,true,false,always,false,-108.77423399865032
false,true,48770,primary,5,29,64,disabled,41265,264,1255762,percpu,true,true,always,false,-113.00508234271177
false,false,48286,primary,10,17,71,auto,43140,347,12314210,percpu,false,true,always,true,-138.4642905808762
true,false,48712,primary,16,8,73,disabled,30409,5,12522094,phycpu,false,true,never,true,241.63225446428578
true,false,48286,disabled,10,17,65,auto,43140,347,12314210,percpu,false,true,always,true,92.64067366590535
false,false,48550,primary,15,1,37,disabled,43993,453,17091305,disabled,false,false,always,true,-148.9783274501661
false,false,48550,primary,14,1,37,auto,43993,445,17091305,disabled,false,true,always,true,-147.26872501816862
false,false,48550,primary,15,1,34,disabled,43993,453,14931722,phycpu,false,false,always,true,-138.69374708004565
true,true,48550,secondary,17,1,37,always,43993,453,15734520,disabled,false,false,never,true,269.98369205512876
false,false,48550,primary,18,1,37,always,43993,453,16136217,disabled,true,false,always,true,-131.4224946791943
true,true,48550,primary,15,9,38,auto,43993,445,17091305,disabled,false,false,always,true,17.99003484478822
false,false,48550,disabled,16,1,38,always,33053,453,17091305,disabled,false,false,always,true,-146.3863715998754
false,false,49460,secondary,16,22,48,disabled,45304,392,24561419,disabled,false,false,default,false,13.96067308191446
false,true,17420,primary,20,1,30,disabled,45511,301,20012317,disabled,true,true,always,false,-59.27582537375413
true,false,48550,primary,15,1,37,disabled,42466,453,17091305,phycpu,false,true,always,true,83.92807341414036
false,false,48133,disabled,16,1,76,disabled,44054,31,18929412,disabled,false,false,always,true,-155.22016617784473
false,false,49828,disabled,16,1,79,disabled,44194,139,19863737,disabled,false,false,always,true,-146.90461320338449
false,true,47399,secondary,17,1,79,disabled,33562,2,17272424,disabled,false,false,always,true,-108.12639346708886
false,false,48133,disabled,16,1,76,always,40204,25,18929412,disabled,false,true,always,false,-135.38313693936874
false,true,48292,disabled,11,8,64,disabled,44194,2,17743594,phycpu,false,true,always,true,-130.2133902616279
false,false,48133,secondary,18,2,76,disabled,44054,31,18929412,disabled,false,false,always,false,-146.94926579370843
false,false,47271,disabled,9,1,73,disabled,45292,18,19507489,disabled,false,false,always,true,-142.7501070649917
false,true,48133,disabled,1,1,76,disabled,44054,31,17999410,disabled,false,false,always,true,-132.84191042877902
false,false,48133,disabled,16,1,78,auto,42752,33,18929412,disabled,false,true,always,true,-123.27810618251658
false,true,48133,disabled,15,1,77,auto,44054,31,18929412,disabled,false,false,always,false,-126.88313531717186
