je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,false,47001,secondary,18,13,14,10,15,75,disabled,1194,39984,606,16652814,percpu,2,6,false,true,7437,234480,26,108,45,always,false,3809792000.0
true,true,13940,primary,8,3,2,16,1,16,always,1994,2603,31,27577795,phycpu,38,13,true,false,8489,77379,53,339,18,never,true,3797004288.0
true,false,30996,secondary,6,8,10,24,7,26,auto,1245,34322,430,21567777,disabled,55,4,true,true,4035,132331,1,239,65,never,false,3777118208.0
false,true,8098,disabled,18,10,8,4,9,46,disabled,444,21551,207,1298157,percpu,19,11,false,false,13287,174187,77,320,39,default,true,3767312384.0
false,false,22257,disabled,15,15,9,29,6,10,auto,179,31188,147,6565473,phycpu,25,9,true,true,5995,218870,20,252,22,never,false,3778748416.0
true,true,38710,primary,3,2,6,6,12,69,always,1735,18410,488,20904365,disabled,61,1,false,false,11087,30108,63,189,77,default,true,3815948288.0
true,false,6226,disabled,11,6,15,12,14,59,disabled,2189,49351,248,30616911,phycpu,47,14,false,true,1445,86486,36,383,1,always,false,3795812352.0
false,true,32841,secondary,21,11,3,21,4,40,auto,625,11962,386,9042563,disabled,12,7,true,false,14721,160032,48,171,57,always,true,3822804992.0
false,false,2573,primary,8,9,9,27,6,42,auto,977,13242,298,23456133,phycpu,52,12,true,true,4388,35866,40,286,71,default,true,3765354496.0
true,true,36507,disabled,21,7,5,7,11,22,disabled,1836,25415,359,4144713,disabled,24,4,false,false,11528,209273,43,198,26,always,false,3796127744.0
true,false,19379,secondary,16,5,15,15,13,12,always,1385,6408,120,13822635,phycpu,6,14,false,true,1004,154274,15,380,53,never,true,3806134272.0
false,true,41600,primary,5,14,4,21,4,71,auto,529,43971,537,25705831,disabled,33,6,true,false,16328,96084,68,142,7,default,false,3781992448.0
false,false,27440,primary,2,11,12,10,15,35,disabled,53,3291,475,33545707,percpu,43,8,false,true,6980,52420,6,130,14,never,true,3792760832.0
true,true,11666,secondary,13,5,2,19,2,55,auto,1636,40863,179,10816039,phycpu,15,15,true,false,10080,255598,72,348,50,default,false,3766816768.0
true,false,44221,disabled,24,3,12,25,8,65,always,2382,22626,579,4775620,disabled,30,2,true,true,2444,199144,21,224,34,always,true,3831619584.0
false,true,16733,secondary,11,16,7,2,10,6,disabled,806,34806,76,17959177,percpu,57,10,false,false,13744,111214,58,292,69,always,false,3796852736.0
false,false,34420,disabled,17,6,1,26,11,67,disabled,285,10569,129,3116481,percpu,52,13,true,true,12272,78822,60,361,16,always,false,3857063936.0
true,true,1561,secondary,7,11,14,3,5,8,always,1704,48425,506,24467981,phycpu,17,6,false,false,5068,167756,23,123,42,always,true,3797417984.0
true,false,43393,disabled,7,15,8,9,3,37,auto,2154,16625,266,26775279,disabled,5,12,false,true,15648,226517,75,305,36,never,false,3774181376.0
false,true,20685,primary,19,2,11,18,13,57,disabled,734,29091,368,12736803,percpu,40,4,true,false,260,22401,9,217,63,default,true,3766161408.0
false,false,9650,secondary,23,7,6,14,2,19,auto,1088,19734,630,11909551,phycpu,46,3,false,true,9608,124656,66,205,80,never,false,3759353856.0
true,true,26304,disabled,10,9,9,20,16,78,always,2025,32207,7,32468579,disabled,11,10,true,false,6572,181922,13,274,24,default,true,3794366464.0
true,false,18650,secondary,3,14,4,28,10,48,disabled,1279,1177,407,16956033,phycpu,27,8,true,true,14152,242108,41,149,59,default,false,3774214144.0
false,true,45454,primary,14,4,16,8,8,28,auto,334,39042,230,5795149,percpu,62,16,false,false,2916,69690,38,367,4,never,true,3766468608.0
false,false,15174,disabled,4,1,6,13,2,53,always,87,36213,458,28606027,percpu,7,3,false,true,9153,191523,45,183,28,always,true,3819798528.0
true,false,8283,primary,23,7,6,4,2,19,auto,1088,15299,630,10801597,percpu,46,3,false,false,9608,124656,66,146,80,default,false,3755814912.0
true,false,2285,primary,23,9,6,3,2,19,disabled,1088,18537,630,11909551,percpu,47,3,false,true,9608,124656,64,180,80,default,false,3756404736.0
true,false,8283,primary,23,4,6,4,2,19,disabled,945,15299,630,8714018,percpu,15,3,true,false,9608,124656,68,144,80,always,true,3798769664.0
false,false,6480,primary,23,9,6,3,2,19,auto,1088,15299,608,9304521,percpu,33,2,false,false,9608,124656,66,146,80,default,false,3755204608.0
false,false,1522,primary,23,12,6,4,8,20,always,945,15299,630,8714018,percpu,3,2,false,false,9608,103954,65,144,80,default,true,3783069696.0
false,false,2285,primary,23,9,3,3,8,19,auto,1088,10404,609,7653255,percpu,47,1,false,false,8185,124656,64,139,79,default,false,3755155456.0
false,false,36721,disabled,9,16,2,13,2,30,always,1076,29233,261,27224527,phycpu,7,11,false,true,183,153845,29,125,54,never,false,3802071040.0
false,true,2285,primary,22,9,3,3,8,19,auto,1088,10404,609,5733606,disabled,46,1,false,false,7431,109184,56,121,79,default,false,3766366208.0
false,false,2285,primary,23,10,9,10,1,19,auto,986,2510,609,7653255,percpu,47,1,false,false,8185,124656,64,125,80,default,false,3754766336.0
false,false,1492,secondary,23,14,9,7,9,19,auto,936,10404,609,1309187,percpu,47,2,false,false,8185,124656,65,107,80,default,false,3756023808.0
false,false,1494,primary,23,4,7,11,1,19,always,986,2510,609,5524337,percpu,49,1,true,false,8185,103084,67,119,80,default,false,3784712192.0
true,true,2623,secondary,23,5,5,10,2,19,auto,818,2510,609,5170491,percpu,49,1,false,false,7237,124656,64,105,80,default,false,3765952512.0
false,false,1887,primary,23,11,9,3,2,3,auto,1088,79,608,7858609,percpu,34,1,true,false,9608,124656,67,146,80,never,false,3754856448.0
true,true,1887,disabled,23,11,9,3,1,3,auto,1088,1310,563,7858609,percpu,29,1,false,false,9608,105469,64,146,80,default,false,3765866496.0
true,false,2285,secondary,23,11,10,3,10,12,auto,1088,2568,609,4925641,disabled,44,1,true,false,8185,124656,65,139,80,never,true,3754135552.0
true,false,2285,secondary,1,9,14,2,11,19,auto,894,7607,535,4428519,disabled,47,1,true,false,7351,117199,65,139,80,always,true,3818881024.0
false,false,1887,primary,23,13,10,4,10,3,disabled,976,939,608,5880110,disabled,34,1,true,true,9608,124656,60,146,53,always,false,3796307968.0
false,false,1460,primary,23,13,11,8,11,14,auto,1088,1964,608,9304521,percpu,33,1,true,false,9608,124656,61,146,80,always,true,3795288064.0
false,true,1760,primary,7,13,11,5,12,19,auto,869,3191,609,1309187,phycpu,47,1,true,false,8185,124656,64,103,66,never,false,3766226944.0
false,true,34146,primary,19,9,12,24,16,69,auto,263,2123,264,12285016,disabled,9,16,false,true,15257,17904,6,290,54,never,true,3775229952.0
true,false,47289,primary,24,9,12,19,15,41,auto,237,20792,610,2653092,disabled,49,1,true,false,14049,233230,48,175,11,default,true,3755220992.0
false,false,2285,secondary,23,13,11,3,8,19,disabled,1088,1370,609,1415790,disabled,47,1,true,false,8185,124656,68,100,79,never,true,3754921984.0
true,false,1652,secondary,23,11,13,2,10,4,auto,991,2568,609,2779134,disabled,44,1,true,false,8185,124656,65,124,80,never,true,3754536960.0
true,false,2285,secondary,23,7,10,3,10,12,auto,1088,2568,609,4925641,disabled,44,1,false,false,5649,116712,65,138,80,never,false,3754651648.0
true,false,1727,secondary,23,11,10,3,2,7,auto,1088,19,608,4926520,percpu,34,1,false,false,5688,113404,65,146,80,never,true,3754278912.0
